Index,Year,Title,Authors,Abstract,Topics,Predict,Relevant,Objective,Method,Result
88,2018,Dynamic Connectivity Game for Adversarial Internet of Battlefield Things Systems,"Abuzainab, N; Saad, W","In this paper, the problem of network connectivity is studied for an adversarial Internet of Battlefield Things (IoBT) system in which an attacker aims at disrupting the connectivity of the network by choosing to compromise one of the IoBT nodes at each time epoch. To counter such attacks, an IoBT defender attempts to reestablish the IoBT connectivity by either deploying new IoBT nodes or by changing the roles of existing nodes. This problem is formulated as a dynamic multistage Stackelberg connectivity game that extends classical connectivity games and that explicitly takes into account the characteristics and requirements of the IoBT network. In particular, the defender's payoff captures the IoBT latency as well as the sum of weights of disconnected nodes at each stage of the game. Due to the dependence of the attacker's and defender's actions at each stage of the game on the network state, the feedback Stackelberg solution [feedback Stackelberg equilibrium (FSE)] is used to solve the IoBT connectivity game. Then, sufficient conditions under which the IoBT system will remain connected, when the FSE solution is used, are determined analytically. Numerical results show that the expected number of disconnected sensors, when the FSE solution is used, decreases up to 46% compared to a baseline scenario in which a Stackelberg game with no feedback is used, and up to 43% compared to a baseline equal probability policy.",1,1,1,,"Due to the dependence of the attacker's and defender's actions at each stage of the game on the network state, the feedback Stackelberg solution [feedback Stackelberg equilibrium (FSE)] is used to solve the IoBT connectivity game.Then, sufficient conditions under which the IoBT system will remain connected, when the FSE solution is used, are determined analytically.Numerical results show that the expected number of disconnected sensors, when the FSE solution is used, decreases up to 46% compared to a baseline scenario in which a Stackelberg game with no feedback is used, and up to 43% compared to a baseline equal probability policy.Numerical results show that the expected number of disconnected sensors, when the FSE solution is used, decreases up to 46% compared to a baseline scenario in which a Stackelberg game with no feedback is used, and up to 43% compared to a baseline equal probability policy.","Numerical results show that the expected number of disconnected sensors, when the FSE solution is used, decreases up to 46% compared to a baseline scenario in which a Stackelberg game with no feedback is used, and up to 43% compared to a baseline equal probability policy."
91,2016,Cybersecurity in the Internet of Things: Legal aspects,"Weber, RH; Studer, E","The explosion in the number of smart, connected, and inherently insecure devices is shifting the security paradigm. While the Internet of Things technological shift will require clear legal frameworks, alternative approaches also need to be developed. This article examines the changing legal cybersecurity environment in the Internet of Things context. It discusses selected applicable international regulations as well as alternative approaches to addressing the security issues arising in the Internet of Things. (C) 2016 Rolf H. Weber/Evelyne Studer. Published by Elsevier Ltd. All rights reserved.",0,1,1,,"While the Internet of Things technological shift will require clear legal frameworks, alternative approaches also need to be developed.It discusses selected applicable international regulations as well as alternative approaches to addressing the security issues arising in the Internet of Things.",
93,2017,Privacy Preservation in the Internet of Things,"Berrehili, FZ; Belmekki, A","The Internet of Things (IoT) is the future of Internet where users, machines and everyday Things have the ability to sense, communicate and interact with their environment. IoT promises a wide variety of applications to make the human's life more comfortable, safe and improve quality of life. It's also considered as big business opportunity for enterprises based on huge quantity of data gathered by connected Things. In the IoT applications such as smart home, smart city, heath and so on, Things cohabit with humans and deal with their personal data even the most private ones. When this data is collected massively and exposed to Internet without an explicit person's agreement, Things constitute by this way a threat for privacy, which is a universal human right. Thus privacy preservation is one of the most prominent issues in IoT. This paper analyzes the privacy in the context of IoT based on case study, and proposes mechanisms to improve security and preserve privacy. This analysis considers also the economic advantages related to the use of IoT as new business opportunity without personal private data disclosure. The proposed solutions are based on data anonymity technologies with recommendation for users and for developers of IoT application.",0,1,1,"This paper analyzes the privacy in the context of IoT based on case study, and proposes mechanisms to improve security and preserve privacy.This paper analyzes the privacy in the context of IoT based on case study, and proposes mechanisms to improve security and preserve privacy.The proposed solutions are based on data anonymity technologies with recommendation for users and for developers of IoT application.",This analysis considers also the economic advantages related to the use of IoT as new business opportunity without personal private data disclosure.,
94,2016,Microlocation for Internet-of-Things-Equipped Smart Buildings,"Zafari, F; Papapanagiotou, I; Christidis, K","Microlocation is the process of locating any entity with a very high accuracy (possibly in centimeters), whereas geofencing is the process of creating a virtual fence around a point of interest (PoI). In this paper, we present an insight into various microlocation enabling technologies, techniques, and services. We also discuss how they can accelerate the incorporation of Internet of Things (IoT) in smart buildings. We argue that microlocation-based location aware solutions can play a significant role in facilitating the tenants of an IoT-equipped smart building. Also, such advanced technologies will enable the smart building control system through minimal actions performed by the tenants. We also highlight the existing and envisioned services to be provided by using microlocation enabling technologies. We describe the challenges and propose some potential solutions, such that microlocation enabling technologies and services are thoroughly integrated with IoT-equipped smart building.",0,1,1,"We describe the challenges and propose some potential solutions, such that microlocation enabling technologies and services are thoroughly integrated with IoT-equipped smart building.",We also highlight the existing and envisioned services to be provided by using microlocation enabling technologies.,
95,2018,"Internet of Things (IoT): Research, Simulators, and Testbeds","Chernyshev, M; Baig, Z; Bello, O; Zeadally, S","The Internet of Things (IoT) vision is increasingly being realized to facilitate convenient and efficient human living. To conduct effective IoT research using the most appropriate tools and techniques, we discuss recent research trends in the IoT area along with current challenges faced by the IoT research community. Several existing and emerging IoT research areas such as lightweight energy-efficient protocol development, object cognition and intelligence, as well as the critical need for robust security and privacy mechanisms will continue to be significant fields of research for IoT. IoT research can be a challenging process spanning both virtual and physical domains through the use of simulators and testbeds to develop and validate the initial proof-of-concepts and subsequent prototypes. To support researchers in planning IoT research activities, we present a comparative analysis of existing simulation tools categorized based on the scope of coverage of the IoT architecture layers. We compare existing large-scale IoT testbeds that have been adopted by researchers for examining the physical IoT prototypes. Finally, we discuss several open challenges of current IoT simulators and testbeds that need to be addressed by the IoT research community to conduct large-scale, robust and effective IoT simulation, and prototype evaluations.",0,1,1,,"To conduct effective IoT research using the most appropriate tools and techniques, we discuss recent research trends in the IoT area along with current challenges faced by the IoT research community.Several existing and emerging IoT research areas such as lightweight energy-efficient protocol development, object cognition and intelligence, as well as the critical need for robust security and privacy mechanisms will continue to be significant fields of research for IoT. IoT research can be a challenging process spanning both virtual and physical domains through the use of simulators and testbeds to develop and validate the initial proof-of-concepts and subsequent prototypes.",
97,2010,Study on Framework of Internet of Things Based on EPC,"Xiao, WJ; Zhang, FZ; Geng, JZ; Yang, ZM; Cheng, P","On the basis of analyzing existing Internet of Things technologies, the basic components and framework of Internet of Things based on EPC are discussed. Hierarchical structure and features of its components are also established. Combining Internet of Things' architecture, functional modules in this framework are analyzed. At last, a new system model with four layers (apperceive layer, access layer, network layer, and application layer) is put forward, the primary functions of each layer are also introduced.",4,1,1,"On the basis of analyzing existing Internet of Things technologies, the basic components and framework of Internet of Things based on EPC are discussed.Combining Internet of Things' architecture, functional modules in this framework are analyzed.",,
98,2018,Internet of Things Pillow Detecting Sleeping Quality,"Hsieh, YZ",Our system is to make it possible for friends with sleep disorders to take out information about their sleep and send it to the cloud to help them have better sleep quality. The system combines the cloud platform and the Internet of Things (IoT) sensor connection device.,1,1,1,,,
101,2011,Study on Framework of Internet of Things Based on EPC,"Xiao, WJ; Zhang, FZ; Geng, JZ; Yang, ZM; Cheng, P","On the basis of analyzing existing Internet of Things technologies, the basic components and framework of Internet of Things based on EPC are discussed. Hierarchical structure and features of its components are also established. Combining Internet of Things' architecture, functional modules in this framework are analyzed. At last, a new system model with four layers (apperceive layer, access layer, network layer, and application layer) is put forward, the primary functions of each layer are also introduced.",4,1,1,"On the basis of analyzing existing Internet of Things technologies, the basic components and framework of Internet of Things based on EPC are discussed.Combining Internet of Things' architecture, functional modules in this framework are analyzed.",,
103,2019,TinyIKE: Lightweight IKEv2 for Internet of Things,"Raza, S; Magnusson, RM","There is unanimous consensus that cyber security in the Internet of Things (IoT) is necessary. In cyber security, key establishment is one of the toughest problems. It is even more challenging in resource-constrained but Internet-connected IoT devices that use low-power wireless communication. A number of IoT communication protocols define cryptographic mechanisms for confidentiality and integrity services but do not specify key management. For example, IEEE 802.15.4, RPL, and object security all rely on external key management protocols. Due to the lack of automatic key management support, IoT devices either end up using preshared keys or no security at all. In this paper, we overcome these challenges and present TinyIKE, a lightweight adaptation of Internet Key Exchange version 2 (IKEv2) for the IoT. Using TinyIKE, we solve the key establishment problem for multiple IoT protocols using a single IKEv2-based solution. We implement TinyIKE for resource-constrained IoT devices that run the Contiki OS. The TinyIKE implementation supports full certificate-based IKEv2 that uses elliptic curve cryptography. In order to ensure the feasibility of TinyIKE in the IoT, we perform an extensive evaluation of TinyIKE using a setup consisting of real IoT hardware.",0,1,1,,"It is even more challenging in resource-constrained but Internet-connected IoT devices that use low-power wireless communication.Due to the lack of automatic key management support, IoT devices either end up using preshared keys or no security at all.Using TinyIKE, we solve the key establishment problem for multiple IoT protocols using a single IKEv2-based solution.Using TinyIKE, we solve the key establishment problem for multiple IoT protocols using a single IKEv2-based solution.The TinyIKE implementation supports full certificate-based IKEv2 that uses elliptic curve cryptography.In order to ensure the feasibility of TinyIKE in the IoT, we perform an extensive evaluation of TinyIKE using a setup consisting of real IoT hardware.",
105,2017,Semantic Web Meets Internet of Things and Web of Things [2nd Edition],"Gyrard, A; Patel, P; Datta, SK; Ali, MI","An ever growing interest and wide adoption of Internet of Things (IoT) andWeb technologies are unleashing a true potential of designing a broad range of high-quality consumer applications. Smart cities, smart buildings, and e-health are among various application domains which are currently benefiting and will continue to benefit from IoT and Web technologies in a foreseeable future. Similarly, semantic technologies have proven their effectiveness in various domains and a few among multiple challenges which semantic Web technologies are addressing are to (i) mitigate heterogeneity by providing semantic inter-operability, (ii) facilitate easy integration of data application, (iii) deduce and extract new knowledge to build applications providing smart solutions, and (iv) facilitate inter-operability among various data processes including representation, management and storage of data. In this tutorial, our focus will be on the combination of Web technologies, Semantic Web, and IoT technologies and we will present to our audience that how a merger of these technologies is leading towards an evolution from IoT to Web of Things (WoT) to Semantic Web of Things. This tutorial will introduce the basics of Internet of Things, Web of Things and Semantic Web and will demonstrate tools and techniques designed to enable the rapid development of semantics-based Web of Things applications. One key aspect of this tutorial is to familiarize its audience with the open source tools designed by different semantic Web, IoT and WoT based projects and provide the audience a rich hands-on experience to use these tools and build smart applications with minimal efforts. Thus, reducing the learning curve to its maximum. We will showcase real-world use case scenarios which are designed using semantically-enabled WoT frameworks (e.g. CityPulse, FIESTA-IoT and M3).",0,1,1,,"One key aspect of this tutorial is to familiarize its audience with the open source tools designed by different semantic Web, IoT and WoT based projects and provide the audience a rich hands-on experience to use these tools and build smart applications with minimal efforts.We will showcase real-world use case scenarios which are designed using semantically-enabled WoT frameworks (e.g. CityPulse, FIESTA-IoT and M3).We will showcase real-world use case scenarios which are designed using semantically-enabled WoT frameworks (e.g. CityPulse, FIESTA-IoT and M3).",
109,2017,Security in Internet of Things: A Survey,"Oracevic, A; Dilek, S; Ozdemir, S","Internet of Things (IoT) can be seen as a pervasive network of networks: numerous heterogeneous entities both physical and virtual interconnected with any other entity or entities through unique addressing schemes, interacting with each other to provide/request all kinds of services. IoT technology is expected to pave the way for groundbreaking applications in a diversity of areas such as healthcare, security and surveillance, transportation, and industry, and integrate advanced technologies of communication, networking, cloud computing, sensing and actuation. Given the enormous number of connected devices that are potentially vulnerable, highly significant risks emerge around the issues of security, privacy, and governance; calling into question the whole future of IoT. IoT applications are expected to affect many aspects of people's lives, bringing about many conveniences; however, if security and privacy cannot be ensured, this can lead to a number of undesired consequences. This survey focuses on the security aspects of IoT, and discusses up-to-date IoT security solutions.",0,1,1,,,
110,2017,Secure Authentication on the Internet of Things,"Griffin, PH","This paper describes biometric-based cryptographic techniques for providing confidential communications and strong, mutual and multifactor authentication on the Internet of Things. The described security techniques support the goals of universal access when users are allowed to select from multiple choice alternatives to authenticate their identities. By using a Biometric Authenticated Key Exchange (BAKE) protocol, user credentials are protected against phishing and Man-in-the-Middle attacks. Forward secrecy is achieved using a Diffie-Hellman key establishment scheme with fresh random values each time the BAKE protocol is operated. Confidentiality is achieved using lightweight cryptographic algorithms that are well suited for implementation in resource constrained environments, those limited by processing speed, limited memory and power availability. Lightweight cryptography can offer strong confidentiality solutions that are practical to implement in Internet of Things systems, where efficient execution, and small memory requirements and code size are required.",0,1,1,,"By using a Biometric Authenticated Key Exchange (BAKE) protocol, user credentials are protected against phishing and Man-in-the-Middle attacks.Forward secrecy is achieved using a Diffie-Hellman key establishment scheme with fresh random values each time the BAKE protocol is operated.Confidentiality is achieved using lightweight cryptographic algorithms that are well suited for implementation in resource constrained environments, those limited by processing speed, limited memory and power availability.",
112,2016,Ontology-based Resource Description Model for Internet of Things,"Wang, SL; Hou, YB; Gao, F; Ma, SS","Internet of things (IoT) mainly realizes the access of kinds of things. For the massive heterogeneous devices, how to achieve their unified resource description is an important issue for IoT. Considering the lack of unified description model for devices in IoT, an Ontology-based Resource Description Model (ORDM) is proposed in this paper. The resource in IoT is described from attribute, state, control, historical information and privacy classes. In the application of smart office, the ORDM is implemented and applied in detail. The experiments results show that the proposed model can support the rich access devices and business functions in IoT, and has significant application value and prospect.",3,1,1,"Considering the lack of unified description model for devices in IoT, an Ontology-based Resource Description Model (ORDM) is proposed in this paper.The experiments results show that the proposed model can support the rich access devices and business functions in IoT, and has significant application value and prospect.",,"The experiments results show that the proposed model can support the rich access devices and business functions in IoT, and has significant application value and prospect."
113,2020,The 'future Internet' and crime: towards a criminology of the Internet of Things,"Milivojevic, S; Radulski, EM","The Internet of Things (IoT) is poised to revolutionise the way we live and communicate and the manner in which we engage with our social and natural world. In the IoT, objects such as household items, vending machines and cars have the ability to sense and share data with other things, via wireless, Bluetooth or Radio-Frequency Identification (RFID) technology. 'Smart things' have the capability to control their performance as well as our experiences and decisions. In this exploratory paper, we overview recent developments in the IoT technology and their relevance for criminology. Our aim is to partially fill the gap in the literature by flagging emerging issues criminologists and social scientists ought to engage with in the future. The focus is exclusively on the IoT, while other advances, such as facial recognition technology, are only lightly touched upon. This paper, thus, serves as a starting point in the conversation, as we invite scholars to join us in forecasting-if not preventing-the unwanted consequences of the 'future Internet'.",0,1,1,,,
115,2016,INTERNET OF THINGS IN MARKETING: OPPORTUNITIES AND SECURITY ISSUES,"Abashidze, I; Dabrowski, M","Internet of Things (IoT) affects different areas of human activities: everyday life of ordinary citizens, work style of marketing teams, factories and even entire cities. Large companies try to implement the technology in their marketing strategy that reshapes not only communication style and product promotion but consumers' expectations, perceptions and requirements towards companies. loT is expected to become a huge network that will encompass not only smart devices but significantly influence humans' behavior, in this particular case - decision making style in different phases of purchase process. Therefore, the need for comprehensive scientific research is necessary. The issue needs to be reviewed from various points of view, such as opportunities, advantages, disadvantages, legal and technical considerations. The paper is an attempt to review different aspects of using Internet of Things for marketing purposes, identify some of the major problems and present possible ways of solution.",0,1,1,"The paper is an attempt to review different aspects of using Internet of Things for marketing purposes, identify some of the major problems and present possible ways of solution.","The paper is an attempt to review different aspects of using Internet of Things for marketing purposes, identify some of the major problems and present possible ways of solution.",
116,2016,Edge-Fog Cloud: A Distributed Cloud for Internet of Things Computations,"Mohan, N; Kangasharju, J","Internet of Things typically involves a significant number of smart sensors sensing information from the environment and sharing it to a cloud service for processing. Various architectural abstractions, such as Fog and Edge computing, have been proposed to localize some of the processing near the sensors and away from the central cloud servers. In this paper, we propose Edge-Fog Cloud which distributes task processing on the participating cloud resources in the network. We develop the Least Processing Cost First (LPCF) method for assigning the processing tasks to nodes which provide the optimal processing time and near optimal networking costs. We evaluate LPCF in a variety of scenarios and demonstrate its effectiveness in finding the processing task assignments.",0,1,1,"Various architectural abstractions, such as Fog and Edge computing, have been proposed to localize some of the processing near the sensors and away from the central cloud servers.In this paper, we propose Edge-Fog Cloud which distributes task processing on the participating cloud resources in the network.",We develop the Least Processing Cost First (LPCF) method for assigning the processing tasks to nodes which provide the optimal processing time and near optimal networking costs.,
117,2014,DataClouds: Enabling Community-Based Data-Centric Services Over the Internet of Things,"Yue, H; Guo, LK; Li, RD; Asaeda, H; Fang, YG","The Internet of Things (IoT) is emerging as one of the major trends for the next evolution of the Internet, where billions of physical objects or things (including but not limited to humans) will be connected over the Internet, and a vast amount of information data will be shared among them. However, the current Internet was built on a host-centric communication model, which was primarily designed formeeting the demand of pair-wise peer-to-peer communications and cannot well accommodate various advanced data-centric services boosted by the IoT in which users care about content and are oblivious to locations where the content is stored. In this paper, we propose a novel architecture for the future Internet based on information-centric networking (ICN), which is called DataClouds, to better accommodate data-centric services. Different from existing ICN-based architectures, we take the sharing nature of data-centric services under the IoT into consideration and introduce logically and physically formed communities as the basic building blocks to construct the network so that data could be more efficiently shared and disseminated among interested users. We also elaborate on several fundamental design challenges for the Internet under this new architecture and show that DataClouds could offer more efficient and flexible solutions than traditional ICN-based architectures.",0,1,1,"In this paper, we propose a novel architecture for the future Internet based on information-centric networking (ICN), which is called DataClouds, to better accommodate data-centric services.",,
121,2019,APEX: Automatic Precondition Execution with Isolation and Atomicity in Internet-of-Things,"Zhou, Q; Ye, F","In Internet-of-Things there are situations where before users can execute commands on IoT devices, certain conditions must be met for sake of safety, correctness or efficiency. Thus, a series of other commands need to precede the user commands in a correct order to make those conditions true. Users have to consciously follow the order and manually send those commands one by one, which is error prone and inconvenient. We propose APEX, a system automatically deducing, satisfying all the preconditions of the user commands. It has two strategies. Evaluation on a 20-node testbed proves that our conservative strategy sustains high execution success rates despite resource contention, while in realistic enterprise environments, our aggressive strategy may execute significantly faster, saving up to 7s and reducing about 46% of conservative strategy's time cost.",1,1,1,"We propose APEX, a system automatically deducing, satisfying all the preconditions of the user commands.",,
123,2018,Home Monitoring System Based Internet of Things,"Yu-Fan, K; Siou-Wei, L; Guo-Zhe, Q; Bing-Cheng, Z; Zhi-Hao, W; Gwo-Jia, J","All analysis reports indicate that there will be 50 billion nodes in the Internet of Things (IoT) by 2020. This improvement can be seen through increasing the number of the researchers use IoT as their research topic. Nevertheless, creating an application by using internet of thing will have the challenge in online data transferring process because of the heterogenic and massive data that needs to be analyzed and processed. This paper applied the application of the internet of thing for household appliances in existing electronic product that combined with ZigBee module and database to build an IoT network architecture. In the experiment, we use TCP/IP protocol and Microsoft Visual Studio ASP. NET to develop a monitoring system that can monitor and analyze the big data. In controlling and monitoring the process, the electronic devices are given the individual numbers in order to recognize, identify, and then manage or instruct it by ZigBee module that combines with a user-friendly web interface. As the result, people can monitor and get the information about their houses even though they are going outside, then when they forgot to turn off the lamp, air conditioner, and other household appliances so it still possible for them to turn off it as well as they have an internet connection.",1,1,1,"Nevertheless, creating an application by using internet of thing will have the challenge in online data transferring process because of the heterogenic and massive data that needs to be analyzed and processed.NET to develop a monitoring system that can monitor and analyze the big data.","This improvement can be seen through increasing the number of the researchers use IoT as their research topic.Nevertheless, creating an application by using internet of thing will have the challenge in online data transferring process because of the heterogenic and massive data that needs to be analyzed and processed.In the experiment, we use TCP/IP protocol and Microsoft Visual Studio ASP.","As the result, people can monitor and get the information about their houses even though they are going outside, then when they forgot to turn off the lamp, air conditioner, and other household appliances so it still possible for them to turn off it as well as they have an internet connection."
126,2015,Native Runtime Environment for Internet of Things,"Manea, V; Carabas, M; Mogosanu, L; Gheorghe, L","Over the past few years, it has become obvious that Internet of Things, in which all embedded devices are interconnected, will soon turn into reality. These smart devices have limited processing and energy resources and there is a need to provide security guarantees for applications running on them. In order to meet these demands, in this paper we present a POSIX-compliant native runtime environment which runs over a L4-based microkernel, a thin operating system, on top of which applications for embedded devices can run and thus be a part of the Internet of Things.",0,1,1,,,
131,2015,Security Perspectives for Collaborative Data Acquisition in the Internet of Things,"Gazis, V; Cordero, CG; Vasilomanolakis, E; Kikiras, P; Wiesmaier, A","The Internet of Things (IoT) is an increasingly important topic, bringing together many different fields of computer science. Nevertheless, beside the advantages (IoT) has to offer, many challenges exist, not at least in terms of security and privacy. In addition, the large number of heterogeneous devices in (IoT) produces a vast amount of data, and therefore efficient mechanisms are required that are capable of handling the data, analyze them and produce meaningful results. In this paper, we discuss the challenges that have to be addressed, when data analytics are applied in the context of the (IoT). For this, we propose a data acquisition architecture, named CoDA, that focuses on bringing together heterogeneous things to create distributed global data models. For each layer of the proposed architecture we discuss the upcoming challenges from the security perspective.",0,1,1,"In addition, the large number of heterogeneous devices in (IoT) produces a vast amount of data, and therefore efficient mechanisms are required that are capable of handling the data, analyze them and produce meaningful results.For this, we propose a data acquisition architecture, named CoDA, that focuses on bringing together heterogeneous things to create distributed global data models.For each layer of the proposed architecture we discuss the upcoming challenges from the security perspective.",,"In addition, the large number of heterogeneous devices in (IoT) produces a vast amount of data, and therefore efficient mechanisms are required that are capable of handling the data, analyze them and produce meaningful results."
133,2020,Research on Drug Regulation Mode in the Age of the Internet of Things,"Zhao, Y; Liu, HW; Cao, N","The Internet of things is the third information technology revolution after the computer and the Internet. The center of this technological revolution is the [1] of the Internet of things. The Internet of things is not a communication network, but a collection of sensing technology, communication technology and computing technology. The State Council emphasizes that in the field of people's livelihood, the model application and demonstration project of the Internet of things should be implemented around the innovation of management model and service model. The drug regulatory code is the information label of each drug given by the State Administration of drugs to supervise the implementation of electronic drugs. It is used to indicate the information mark of store automatic sale management system or to mark the classification and coding of goods. To find the feasibility of the interconnection between the two has a broad prospects for development. In the 2008 government work report, Premier Wen Jiabao pointed out that the strict market access system and product quality traceable system and recall system were implemented. At present, the State Food and drug administration has carried out the electronic supervision of pharmaceuticals, which is a work that embodies the technology characteristics of the Internet of things and has the concept of forward-looking supervision. Using modern information technology, network technology, coding technology and the built third party technology platform, we set up a monitoring and traceable system for drug. At the same time, the problem of drug safety has also become a major concern. At present, there is not an effective drug safety supervision mode to supervise drugs.",2,1,1,,"It is used to indicate the information mark of store automatic sale management system or to mark the classification and coding of goods.Using modern information technology, network technology, coding technology and the built third party technology platform, we set up a monitoring and traceable system for drug.",
136,2018,Software Architecture for Sensor Nodes in the Internet of Things: A Case of Study in Agriculture,"Mendoza, JF; Ordonez, H; Figueroa, C; Segovia, R; Munoz, D; Ordonez, A","This paper presents a software architecture for microcontrollers running on data capture cards for the Internet of Things (IoT). The Software Architecture describes the structure, operation and interaction of the different components from a global perspective. This paper describes various components and subcomponents of the architecture and its communication. A case study is developed based on the proposed architecture for a cilantro crop in Colombia.",3,1,1,A case study is developed based on the proposed architecture for a cilantro crop in Colombia.,,
137,2018,Intelligent Monitoring System Based on Internet of Things,"Tang, J; Dong, TT; Li, LH; Shao, LM","In order to better apply the intelligent environment quality monitoring system based on Internet of things to indoor environment monitoring, sensor technology, computer technology, wireless communication and the Internet are combined through the Internet and sensors. With the Internet of things technology, a monitoring system based on Internet of things and networking is established to provide remote indoor environment information monitoring service for users. Taking ZigBee as the core to build the system, real time acquisition and monitoring for indoor temperature, humidity, carbon dioxide concentration, light intensity and other environmental information are realized by using relevant sensors. In system design, serial port is taken as the main channel for information exchange between ZigBee chip and ARM development board. The ARM processor connects the information to the Internet, and users can check the information collected by the system through the internet. The design of the system adopts the method with simplified design, which narrows the system structure. The different hardware composition is replaced according to different functional requirements. Therefore, the connection of more devices can be realized so as to realize the real Internet of things.",3,1,1,,"Taking ZigBee as the core to build the system, real time acquisition and monitoring for indoor temperature, humidity, carbon dioxide concentration, light intensity and other environmental information are realized by using relevant sensors.The design of the system adopts the method with simplified design, which narrows the system structure.",
143,2019,On Lightweight Privacy-Preserving Collaborative Learning for Internet-of-Things Objects,"Jiang, LS; Tan, R; Lou, X; Lin, GS","The Internet of Things (IoT) will be a main data generation infrastructure for achieving better system intelligence. This paper considers the design and implementation of a practical privacy-preserving collaborative learning scheme, inwhich a curious learning coordinator trains a better machine learning model based on the data samples contributed by a number of IoT objects, while the confidentiality of the raw forms of the training data is protected against the coordinator. Existing distributed machine learning and data encryption approaches incur significant computation and communication overhead, rendering themill-suited for resource-constrained IoT objects. We study an approach that applies independent Gaussian random projection at each IoT object to obfuscate data and trains a deep neural network at the coordinator based on the projected data from the IoT objects. This approach introduces light computation overhead to the IoT objects and moves most workload to the coordinator that can have suficient computing resources. Although the independent projections performed by the IoT objects address the potential collusion between the curious coordinator and some compromised IoT objects, they significantly increase the complexity of the projected data. In this paper, we leverage the superior learning capability of deep learning in capturing sophisticated patterns to maintain good learning performance. Extensive comparative evaluation shows that this approach outperforms other lightweight approaches that apply additive noisification for difierential privacy and/or support vector machines for learning in the applications with light data pattern complexities.",4,1,1,,"Existing distributed machine learning and data encryption approaches incur significant computation and communication overhead, rendering themill-suited for resource-constrained IoT objects.We study an approach that applies independent Gaussian random projection at each IoT object to obfuscate data and trains a deep neural network at the coordinator based on the projected data from the IoT objects.This approach introduces light computation overhead to the IoT objects and moves most workload to the coordinator that can have suficient computing resources.Extensive comparative evaluation shows that this approach outperforms other lightweight approaches that apply additive noisification for difierential privacy and/or support vector machines for learning in the applications with light data pattern complexities.Extensive comparative evaluation shows that this approach outperforms other lightweight approaches that apply additive noisification for difierential privacy and/or support vector machines for learning in the applications with light data pattern complexities.",
145,2014,"Internet of Things: Trends, Challenges and Applications","Yeo, KS; Chian, MC; Ng, TCW; Tuan, DA","This paper gives an overview of the trends, challenges and applications of the Internet of Things (IoT). It is paving the way towards a smart, interconnected world with infinite opportunities. The multidisciplinary scenario of internet, wireless sensor networks and data fusion which computational intelligence is distributed throughout the physical environment will enable new breeds of services, applications and systems. IoT is the next driver for electronics, in particular IC design in the IoT era will change and shape semiconductor innovation and manufacturing. An IC design in cloud is proposed as a turn-key infrastructure for IoT development.",0,1,1,An IC design in cloud is proposed as a turn-key infrastructure for IoT development.,,
149,2016,Twenty Security Considerations for Cloud-Supported Internet of Things,"Singh, J; Pasquier, T; Bacon, J; Ko, H; Eyers, D","To realize the broad vision of pervasive computing, underpinned by the Internet of Things (IoT), it is essential to break down application and technology-based silos and support broad connectivity and data sharing; the cloud being a natural enabler. Work in IoT tends toward the subsystem, often focusing on particular technical concerns or application domains, before offloading data to the cloud. As such, there has been little regard given to the security, privacy, and personal safety risks that arise beyond these subsystems; i.e., from the wide-scale, cross-platform openness that cloud services bring to IoT. In this paper, we focus on security considerations for IoT from the perspectives of cloud tenants, end-users, and cloud providers, in the context of wide-scale IoT proliferation, working across the range of IoT technologies (be they things or entire IoT subsystems). Our contribution is to analyze the current state of cloud-supported IoT to make explicit the security considerations that require further work.",0,1,1,Our contribution is to analyze the current state of cloud-supported IoT to make explicit the security considerations that require further work.,,
150,2018,GeoFPE: Format Preserving Encryption of Geospatial Data for the Internet of Things,"Lenk, A; Marcus, P; Povoa, I","The rise Internet of Things (IoT) over the last years has allowed more and more devices to be connected and interact between themselves. Many of these devices, such as vehicles have to deal with geographic information, often considered as sensitive by many car manufacturers, like the BMW Group. For securely storing this geographic information, usually block ciphers are used. Unfortunately, they imply the disadvantage of breaking existing formats and compatibilities. To address this problem, we propose a new algorithm for storing geographic spatial information in IoT devices and the Cloud securely while preserving the existing format.",0,1,1,"To address this problem, we propose a new algorithm for storing geographic spatial information in IoT devices and the Cloud securely while preserving the existing format.","For securely storing this geographic information, usually block ciphers are used.",
152,2016,A Utility Paradigm and Roadmap of Internet-of-Things in Thailand for Digital Economy Development towards ASEAN Economic Community,"Noymanee, J; San-Um, W; Theeramunkong, T","While the ASEAN Economic Community (AEC) is on the rise in global economy, a digital economy is consequently an effective and efficient policy, which is necessary to stimulate a rapid growth in an average Gross Domestic Product (GDP). Internet of Things (IoT), in which physical perceptions, cyber interactions, social correlations, and cognitive process can be united through ubiquitous interconnections, potentially enables a success in digital economy policy. Thailand as a part of AEC has realized the importance of the design and implementation of IoT ranging from physical layer to application layer. This paper presents the roadmap of IoT in Thailand towards AEC. In accordance to Thai environments and possible application platforms, the current status of IoT is described in terms of Internet-of-Device (IoO), Internet-of-Service (IoS), Internet-of-People (IoP), and Internet-of-Intelligence (IoI). The roadmap of IoT for Thailand until the year 2020 and beyond is suggested as for a perspective on an opportunity in international trading and investments. Challenges in major IoT implementation issues in Thailand such as security, standardization, and interoperability are also discussed. This paper offers new perspectives, utility paradigm, social and economic impacts of IoT implementation in Thailand as a potential country in terms of markets and production hubs in South East Asia region.",0,1,1,,,
