Index,Index,Year,Title,Authors,Abstract,Topics,Predict
49,49,2019.0,Internet of Things - IOT Interoperability and Challenges,"Mughal, MJH; Faisal, M; Munir, ME","Internet of things is a concept that associate world with tech-systems to communicate in a manner that is easy and automated. Over past decade the idea became true focus for researchers and industrial domains. IOT is a technology of future that is rapidly growing every day with perceptions, providing humans control and update of things. The awareness of devices interaction and communication is coming from years but still struggling to be accepted by industries and organization due to lack of standardization. This study addresses IOT platforms limitations and interoperability challenges through reviewing scholarly papers. Also internet of things history and cloud computing role in IOT are briefly described.",0,1
50,50,2020.0,Environment-oriented Internet of Things Service Modeling Integrating with User Requirements,"Yu, L; Lu, Y; Zhang, BH; Li, Y; Huang, FL; Shen, YL","Compared with traditional Web services, Internet of Things services have higher requirements on response speed, energy consumption and fault tolerance due to the resource constraints and dynamic variability of the physical environment in which they are located, affecting the overall characteristics of the Internet of Things systems. Therefore, it is very necessary to formally model the Internet of Things service based on the external environment where the Internet of Things service is located, and analyze and verify the model in combination with user requirements to ensure the correctness, reliability and stability of the Internet of Things system. For this reason, based on the idea of environment-oriented and fully considering the needs of users, a formal modeling method for Internet of Things services is proposed. Based on the description methods of the atomic service of the Internet of Things, the environment entities interacting with the service and the user requirements, the probabilistic timed automata is used to complete the modeling of the Internet of Things service and its physical environment, and the temporal logic formula is used to complete the modeling of the user requirements. Finally, taking the application scenario of intelligent clinic in the Internet of Things of hospital as an example, the specific modeling process of the Internet of Things service is explained, and the effectiveness and feasibility of the above modeling method are analyzed. This method provides scientific basis and implementation reference for the correctness verification of the functional behavior of Internet of things services and the satisfaction verification of non-functional constraints.",3,1
51,51,2015.0,Social Monitoring and Social Analysis in Internet of Things Virtual Networks,"Voutyras, O; Bourelos, P; Gogouvitis, S; Kyriazis, D; Varvarigou, T","The integration of social networking concepts into Internet of Things systems is a burgeoning topic of research that promises to support novel and more powerful applications. In this paper we present the social approach that the COSMOS project introduces in order to achieve enhanced services like discovery, recommendation and sharing between Things enriched with social properties. We investigate how typical notions and modes of interactions of social networking can be extended to the networks of Things, providing a Social Internet of Things platform, and we discuss two main components supporting the socialization of Things: Social Monitoring and Social Analysis. The first one involves all the main tools and techniques needed for the monitoring of the social properties of the Things, whereas Social Analysis is used for the extraction of their complex social characteristics, as well as models and patterns regarding their behavior and relations between them.",0,1
54,54,2021.0,From the internet of things toward the internet of bodies: Ethical and legal considerations,"El-Khoury, M; Arikan, CL","The proliferation of the internet of things makes the gray area of ethics darker and lighter simultaneously, and the law is currently not construed to accompany the steady progression toward the internet of bodies. The internet of things is challenging the traditional construct of ownership, and users are progressively losing control over their IoT devices. The internet of bodies is the awaiting new normal where human bodies and minds form a connected network pervaded by the Internet. The integrity of human bodies will rely more and more on the internet. In this context, the future calls for a balance between divergent interests of appealing technological progress and vital human safety.",1,1
55,55,2015.0,Internet of Things and Crowd Sourcing - a Paradigm Change for the Research on the Internet of Things Initial insight from IoT Lab European Research project,"Ziegler, S; Nikoletsea, S; Krco, S; Rolim, J; Fernandes, J","This article presents an initial set of results from the IoT Lab European research project on crowd sourcing and Internet of Things (IoT). It gives an overview of the IoT Lab architecture for IoT and crowd sourcing integration, including the use of IPv6 as a global integration enabler. It continues by presenting the IoT Lab specific research model enabling multidisciplinary research and crowd-driven research exploiting the potential of the Internet of Things based together with richer end-user interactions.",4,1
56,56,2013.0,A Survey on the Internet of Things Security,"Zhao, K; Ge, LN","The security issues of the Internet of Things (IoT) are directly related to the wide application of its system. Beginning with introducing the architecture and features of IoT security, this paper expounds several security issues of IoT that exist in the three-layer system structure, and comes up with solutions to the issues above coupled with key technologies involved. Among these safety measures concerned, the ones about perception layer are particularly elaborated, including key management and algorithm, security routing protocol, data fusion technology, as well as authentication and access control, etc.",0,1
58,58,2019.0,Forecasting and Optimization Internet of Things System,"Lvovich, Y; Lvovich, I; Preobrazhenskiy, A; Choporov, O","Currently many methods and approaches related to the management of Internet of Things systems are associated with the collection of large amounts of information. The results of the rating assessment from the management point of view are limited. In many cases we need to involve modeling and optimization techniques in the management process. This paper shows how an integral assessment of the efficiency of Internet of Things systems is formed. The optimization model of the problem is developed and the procedures of expert evaluation of management decisions are formed. On the basis of the methods used, the results demonstrating their efficiency are obtained.",1,1
59,59,2017.0,Personal OAuth authorization server and push OAuth for Internet of Things,"Jung, SW; Jung, S","Internet of Things will connect millions of things to the Internet to make our lives more convenient. However, Internet of Things security is an essential factor. OAuth is one of the most successful authentication and authorization protocols on the Internet. This article proposes push OAuth and personal OAuth authorization server by expanding OAuth for a secure access to the information on Internet of Things devices. In personal OAuth, the smartphones that communicate with remote servers to deliver information on Internet of Things devices can be the OAuth authorization server. Hospitals (OAuth client) that intend to access the information on Internet of Things devices cannot know millions of OAuth authorization server when the smartphone becomes the OAuth authorization server. This article proposes the push OAuth that changes the OAuth protocol and issues the OAuth token when the OAuth authorization server registers to the OAuth client first. Personal OAuth authorization server is far more trustworthy than using a third-party OAuth authorization server to authenticate because users directly control access to the information generated by Internet of Things devices. The personal OAuth authorization server and push OAuth suggested here are expected to create a more secure Internet of Things environment as users can directly authenticate the OAuth client that can access the information on their Internet of Things devices.",0,1
60,60,2015.0,Securing Tags to Control Information Flows within the Internet of Things,"Singh, J; Pasquier, TFJM; Bacon, J","To realise the full potential of the Internet of Things (IoT), IoT architectures are moving towards open and dynamic interoperability, as opposed to closed application silos. This is because functionality is realised through the interactions, i.e. the exchange of data, between a wide-range of 'things'. Data sharing requires management. Towards this, we are exploring distributed, decentralised Information Flow Control (IFC) to enable controlled data flows, end-to-end, according to policy. In this paper we make the case for IFC, as a data-centric control mechanism, for securing IoT architectures. Previous research on IFC focuses on a particular system or application, e.g. within an operating system, with little concern for wide-scale, dynamic systems. To render IFC applicable to IoT, we present a certificate-based model for secure, trustworthy policy specification, that also reflects real-world IoT concerns such as 'thing' ownership. This approach enables decentralised, distributed, verifiable policy specification, crucial for securing the wide-ranging, dynamic interactions of future IoT applications.",0,1
61,61,2011.0,Implementation of the Internet of Things on Public Security,"Lu, KS; Li, XC","The development of the Internet of Things will occur within a new ecosystem that will be driven by a number of key players. The public security as one of the key players is going to make real-time communications will be possible not only by humans but also by things at anytime and from anywhere. This research will present the advent of the Internet of Things to create a plethora of innovative applications and services, which will enhance quality of life and reduce inequalities.",1,1
62,62,2018.0,A Survey on Blockchain-based Identity Management Systems for the Internet of Things,"Zhu, XY; Badr, Y","The Internet of Things aims at connecting everything ranging from individuals, organizations, companies to things in the physical and virtual world. The digital identity has always been considered as the keystone for all online services and the foundation for building security mechanisms such as authentication and authorization. However, current literature still lacks of a comprehensive research on the digital identity management for the Internet of Things (IoT). In this paper, we identify digital identity challenges and solutions for the Internet in general. We then focus on how existing solutions cope with IoT requirements such as scalability, interoperability, mobility, security and privacy. We also investigate recent surging blockchain sovereign identity solutions and enumerate some projects and startups which are focusing on IoT identity problems. Furthermore, we elaborate challenges of building identity management systems for the IoT, including access control, privacy preserving, trust and performance respectively. At last, we conclude with the promising future research trends in building IoT identity management systems.",0,1
63,63,2011.0,The Architecture of Internet of Things (IOT),"Liu, YM; Liu, SA; Ni, L","Internet of Things is a hot topic in Ubiquitous Computing for network implementing scenarios. The need for IOT is very obvious when we realize the communication gap between humans, devices, and everyday things. In this paper, we describe a practical realization of a new communication protocol model. With the current OSI model, the highest abstraction possible is the application layer. This carries with it the implicit assumption that the needs of the user would be well reflected in the application logic and behaviour with respect to the communication architecture.",0,1
64,64,2019.0,Internet of Things in the Philippines: A Review,"Illahi, AAC; Culaba, A; Dadios, EP","The country is adopting Fourth Industrial Revolution (4IR). Internet of Things is one of the disruptive technologies and part of 4IR. Data coming from the sensor, actuators are automatically collected, stored, analyzed, and used. This new emerging technology offers extraordinary opportunities to develop a new business model and can provide automation and monitoring in everything we do. IoT provides automation to our home, healthcare, transportation, manufacturing industry, and agriculture. IoT implementation serves to be beneficial to society. The economy will be progressive because all business operation can be automated. It will increase the production time resulting in a higher profit that will add to the national Growth Domestic Product (GDP). But the issue of data and privacy is the concern by using Internet of Things (IoT). Policymakers should come up with a concrete law that will protect the user of the technology.",3,1
65,65,2017.0,Research on the Application of PLC Control Cabinet in the Construction of Oil Field Internet of Things,"Liang, LJ","PLC control cabinet is mainly used in the construction of oil field Internet of things. PLC is short for programmer logic controller in English. The programmable controller mainly defers to, it which the mature effective black-white control concept and the design concept complete in at present is one kind of new technology, the core electronic device gradual is already invested each domain, became one to have the characteristic series new product that was one can carry on the digital operation and the digital operation computer effectively. So this study control PLC control cabinet in oil field application value of construction of the Internet of things, we hope that the content can provide effective reference for the related areas.",3,1
67,67,2020.0,Studying and Analyzing the Fog-based Internet of Robotic Things,"El Menbawy, N; Arafat, H; Saraya, M; Ali-Eldin, AMT","Usually, IoT devices are designed to perform specific tasks, while robots have to adapt to unpredictable situations. Artificial intelligence and machine learning help these robots cope with the emerging unexpected conditions. The Internet of Robotic Things is an evolving concept that brings together all-encompassing sensors and devices with robotic and autonomous systems. Both IoT devices and robots rely on sensors to understand the surrounding environment, to process data quickly, and to decide how to respond. Nevertheless, while most IoT systems can handle only well-defined tasks, robots can handle expected situations as well. The Internet of Robotic Things is a better Internet of Things (IoT) solution due to its ability to bridge the gap between IT and real operations. The IoRT may face several challenges in power consumption and network bandwidth limitation due to the growth in the information dissemination over the Robotic network. The main objective of this paper is to introduce an overview of the concepts and challenges in the Internet of Robotic Things based on Fog Computing technique. Further, a framework of Fog based IoRT is introduced.",0,1
68,68,2019.0,Open challenges in vetting the internet-of-things,"Maamar, Z; Kajan, E; Asim, M; Shamsa, TB","Internet-of-Thing (IoT) is a rapid-emerging technology that exploits the concept of internetwork to connect things such as physical devices and objects together. A huge number of things (6.4 billion are in use in 2016) are already acting without direct human control raising a lot of concerns about the readiness and appropriateness of existing security practices, techniques, and tools to secure the data collected and protect people's private lives. As a first step, this paper presses the importance of having a dedicated process for vetting IoT (by analogy to vetting mobile apps) with focus on exposing things' vulnerabilities that could be the primary source of attacks. These vulnerabilities are identified according to things' duties decomposed into sensing, actuating, and communicating. A set of questions shed light on things' vulnerabilities per type of duty.",0,1
69,69,2012.0,Behaviour-Aware Compositions of Things,"Cubo, J; Brogi, A; Pimentel, E","The new Internet has led the evolution of the Ubiquitous Web to integrate physical world entities into virtual world things. Thus, Internet is evolving into the vision of the Internet of Things where everyday life things are identifiable, readable, recognizable, addressable, and controllable via the Internet. As mass market penetration of networked embedded devices seems to become a reality, it is necessary to develop platforms considering this kind of devices and their interactions. Future Internet has emerged as a new initiative to pave a novel and dynamic global network infrastructure that handles the changing global needs of business and society. The Internet of Things could benefit from the Web Service architecture like today's Web does. Then, Future service-oriented Internet things will offer their functionality via service-enabled interfaces. DPWS is a new emergent OASIS standard based on Web Service architectures to support interoperability among heterogeneous things. But there is still a need to represent explicitly the behaviour of things to develop applications in a more rigorous way. We propose to extend DPWS to specify the behaviour of things. We also propose verification techniques to check if a composition of things fulfills or violates the behaviour of those things.",3,1
70,70,2021.0,Internet of Flying Things (IoFT): A Survey,"Zaidi, S; Atiquzzaman, M; Calafate, CT","Unmanned Aerial Vehicles (UAVs) have recently received significant attention by the civilian and military community, mostly due to the fast growth of UAV technologies supported by wireless communications and networking. UAVs can be used to improve the efficiency and performance of the Internet of Things (IoT) in terms of connectivity, coverage, reliability, stability, etc. In particular, to support IoT applications in an efficient manner, UAVs should be organized as a Flying Ad-hoc NETwork (FANET). FANET is a subclass of Mobile Ad-hoc Network (MANET) where nodes are Unmanned Artifact Systems (UAS). However, the deployment of UAVs in IoT is limited by several constraints, such as limited resource capacity of UAVs and ground devices, signal collision and interference, intermittent availability of the IoT infrastructure, etc. In the Internet of Flying Things (IoFT) literature, there are no survey or study that exhaustively covers and discusses all key concepts and recent works on IoFT. In this paper a comprehensive survey on the IoFT is presented, covering the state of the art in flying things with a focus on IoFT. A taxonomy of related literature on IoFT is proposed, including a classification, description and comparative study of different work on IoFT. Furthermore, the paper presents IoFT applications, IoFT challenges and future perspectives. This survey aims to provide the basic concepts and a complete overview of the recent studies on IoFT for the scientific researchers.",0,1
71,71,2016.0,An Overview to Internet of Things (IOT),"Kaur, S; Hans, A; Singh, N","Web and its applications have turned into an essential piece of today's human way of life. Because of the colossal interest and need, analysts went past associating only PCs into the web. These inquires about prompted the introduction of an astounding thingamabob, Internet of Things (IoT). Correspondence over the web has developed from client - client cooperation to gadget - gadget collaborations nowadays. The fundamental target of this paper is to give a review of Internet of Things, structures, key innovations and their utilizations in our day by day life. In any case, this composition will give great appreciation for the new scientists, who need to do look into in this field of Internet of Things and encourage learning collection in effectively.",1,1
72,72,2016.0,THE INTERNET OF THINGS (IOT) BUSINESS POTENTIAL IN LATVIA,"Binde, J; Zvirbule, V; Demjanova, Z; Saulite, I","Over the recent years, there is a growing topicality in the business segment, as well as among individuals, of technologies that allow connecting a wide range of devices in a unified information environment, thereby providing automation and online monitoring of operations. Application of solutions ranges from transportation and logistics to health care, environment and rescue and safety. Including the devices in a single network allows achieving increased operational optimization, improved accuracy and efficiency; therefore, ensuring a business potential in virtually any market or industry. Although the topicality and prevalence of internet of things (IoT) are increasingly growing, as smart devices are seamlessly included in the day-to-day operations of the business environment, the benefits arising from the new digital technologies and online connectivity still remain largely underexplored in Latvia. Hence, the aim of the paper is to identify the main development drivers and the business potential of internet of things in Latvia by exploring the current experience and future readiness to optimize the cost base, develop new technologies and business models, enter new markets or industries, as well as to strengthen cooperation with the current and potential business partners by capitalizing on 24/7 connectivity of a range of devices. To achieve the above-stated aim, in January 2016 a web-based questionnaire is sent out to business organizations' representatives in Latvia asking respondents to evaluate their current experience and future potential of application of internet of things solutions in their organization to achieve an increased efficiency or develop new technologies or business models. Research results indicate that even though the general awareness of the benefits that internet of things has to offer can be considered as relatively high, the practical application of the respective solutions show that the technology adoption in this field is still fairly low; therefore, indicating unrealized potential of internet of things usage in day-to-day operations. Practical implications of research results are mainly based on the opportunity to identify gaps that prevent business customers from wider application of internet of things solutions and, consequently, benefiting from opportunities in technological and efficiency advancement.",3,1
73,73,2010.0,Application Prospect of Internet of Things Technology in Info-Forestry,"Wang, Y; Zhang, G; Tan, SQ","Internet of things is a net in which the objects are connected to each other. With extremely wide range of use, Internet of things is considered as a momentum to the third information revolutionary and a new economic growth point in the next decade. This paper is the first to study application and prospects of internet of things technology in info-forestry. In the first instance, this paper introduces the origin, concept, and principle of the Internet of things, and then it elaborates the prospects of the internet of things' application in forestry, such as forest fire prevention, ancient and rare trees management, rare wild animal protection, timber tracking management, Forest Eco tourism, forest resources management, nursery stock and flower culture and so on. In the end of this paper, opportunities and challenges of internet of things are discussed in extension process.",2,1
74,74,2016.0,Negotiation in Internet of Things,"Misura, K; Zagar, M","Internet of things as a market, and the number of connected devices in particular is growing very rapidly. Currently, application owners deploy new devices for each application that needs the data. As the number of sensors increases, it will become much more practical to reuse existing sensors for new applications than to deploy new ones. But the problem is that the application owner needs to agree with device owners on conditions under which will the data be made available to applications. Doing this manually is very expensive both in terms of money and time. We implemented a system that does this automatically using negotiating agents. The system was tested on simulated environments and showed that it can mediate between devices and applications with reasonable performance.",3,1
76,76,2011.0,STUDY ON APPLICATION OF INTERNET OF THINGS BASED ON RFID TECHNOLOGY,"Xin, C","The advent of era of the Internet of Things has initiated a new information industrial revolution, attracting more and more attention of people. The article has described the system architecture of the Internet of Things and working principle of RFID technology, emphasized the composition and working principle of the Internet of Things based on RFID technology, also analyzed some existent problems in the development of the Internet of Things, and forecasted its application prospect.",2,1
77,77,2014.0,Design of an Internet of Things Intelligent Basket System,"Huang, KW","The paper focuses on design of an Internet of things intelligent basket system. The system is the public service platform with the internet of things technology which is used to buy the food, send the food and receive the food. The system includes two parts: server (web site) and the client (intelligent basket) and it can communicate between them.",1,1
78,78,2018.0,HERMIT: A Benchmark Suite for the Internet of Medical Things,"Limaye, A; Adegbija, T","The growth of the Internet of Things (IoT) will transform the healthcare industry, and enable the emergence of the Internet of Medical Things (IoMT). In this paper, we present and analyze HERMIT, a benchmark suite for the IoMT. The goal of HERMIT is to facilitate research into new microarchitectures and optimizations that will enable efficient execution of emerging IoMT applications. HERMIT comprises of applications spanning various domains in the healthcare industry, including computerized tomography scan, ultrasound, magnetic resonance imaging, implantable heart monitors, wearable devices. HERMIT also includes supplementary applications for security and data compression. We analyze HERMIT on an IoT prototyping platform to derive insights into IoMT applications' compute and memory characteristics. We also compare HERMIT to three commonly used benchmark suites: 1) MiBench; 2) SPEC CPU2006; and 3) PARSEC, and show that IoMT applications' characteristics differ from existing benchmarks. Our results motivate the need for a new benchmark suite to enable IoMT-targeted microarchitecture research.",0,1
79,79,2020.0,Internet of Things Research and Application of Information Technology,"Xia, XY","With the continuous development of information technology, artificial intelligence, big data and other technologies are gradually integrated into daily production and life. The Internet of Things technology based on information technology has also received many new development opportunities, innovating people's production methods. This article summarizes the technical content of the Internet of Things based on previous work experience. The author discusses the application form of the Internet of Things based on information technology from six aspects: smart home and smart transportation, smart city, Internet of Things industry, Internet of Things security, communication transmission mode, and smart warehouse management system.",2,1
80,80,2017.0,PROBLEMS OF INFORMATION SECURITY: INTERNET OF THINGS,"Shikov, SA","Introduction. The article deals with the threats to information security in the internet-working of physical devices, also known as Internet of Things (IoT), and the security challenge in terms of home automation systems, ZigBee protocol, Tesla electric cars and Apple Pay mobile payment. Section provides the term definition and history of the Internet of Things. The IEEE 1888 IoT-related standard developed in 2011 as integrated solution based on energy-saving technologies for the Internet of Things. The author considers security challenges for the smart home system. Next section reviews the experiments of the author involved in testing of the Internet of Things devices. Materials and Methods. The subjects of study are the Apple Pay, the ZigBee wireless standard, Tesla Model S electric cars. The main methods for identification of security threats are analysis and comparison. Results. The companies of electronic devices simplify and reduce the price of manufacturing process. The customers and users are rarely interested in levels of electronic devices security policies. This is the weakest link of electronic products in terms of security and safety. The tests demonstrated that modern electronic-based technologies do not reach the 100-percentage security level. Apple Pay mobile payment system demonstrated the highest security rating. Discussion and Conclusions. Modern electronic devices for Internet of Things does not meet all safety requirements, from the point of view of the author. The article recommends analyzing the potential threats and developing new security standards. In addition, the logistics of electronic devices for Internet of Things need to be under control from the manufacturer to equipment installation time.",0,1
82,82,2016.0,Service-Oriented Network Virtualization Architecture for Internet of Things,"Guo, YG; Zhu, HB; Yang, LX","As a key technology to realize smart services of Internet of Things(IoT), network virtualization technology can support the network diversification and ubiquity, and improve the utilization rate of network resources. This paper studies the service-oriented network virtualization architecture for IoT services. Firstly the semantic description method for IoT services is proposed, then the resource representation model and resource management model in the environment of network virtualization are presented. Based on the above models, the service-oriented virtual network architecture for IoT is established. Finally, a smart campus system is designed and deployed based on the service-oriented virtual network architecture. Moreover, the proposed architecture and models are verified in experiments.",3,1
83,83,2016.0,Energy Efficient Event-Based Networking for the Internet of Things,"Kolios, P; Ellinas, G; Panayiotou, C; Polycarpou, M","Autonomy is a key feature for sustainable operation of the Internet of Things (IoT), since the large deployment scale of IoT devices makes management a very challenging task. For that reason, energy efficiency has become a primary design consideration in emerging and future IoT solutions. Already, beaconing and discontinuous transmission/reception is included in the upcoming IoT standards to enable devices to duty cycle between the active and sleep states in order to save energy. In many cases however, this periodic mode of operation results in unnecessary wake-ups that greatly reduce energy efficiency. Event-based communication greatly outperforms periodic triggering in efficiency, since wake-ups occur only when particular events take place. The networking aspects of this promising approach are investigated herein with devices exchanging events for monitoring and control purposes. Both centralized optimal and distributed heuristic strategies are formulated to intelligently adjust the number of wake-up events in order to maximize energy efficiency. Extensive simulations are conducted to analyze the performance of the proposed strategies.",1,1
84,84,2018.0,Securing the Internet of Things (IoT),"El bekkali, A; Boulmalf, M; Essaaidi, M; Mezzour, G","Internet of Things is a large network of interconnected things. IoT refers to the exchange of data and information from real world devices to the Internet. IoT technology will enable breakthrough applications in several areas such as e-Health, smart cities, transportation and industry, and includes multiple technologies, cloud computing, communication, etc. IoT reveals not only the possibilities of high efficiency and low cost, but also scalability. On the other hand, security issues exist and are a major concern for researchers. This article is a systematic literature review (SLR) where show the most basic and common architecture proposed for IoT with a security analysis of each layer. This SLR is also made to present IoT security solutions, as well as a comparison of these solutions. Finally we will present future research directions.",0,1
85,85,2022.0,"Internet of Things: Aspiration, implementation and contribution","Cranmer, EE; Papalexi, M; Dieck, MCT; Bamford, D","The Internet of Things (IoT) technologies offer unique opportunities for organisations to improve their performance, innovativeness and as a result pursue competitive advantages. However, organisations are uncertain how to adopt IoT to exploit its potential. This study explores emerging issues and future horizons in the IoT business model context, identifying factors that influence and hinder organisation's ability to implement IoT. A survey revealed a number of drivers and barriers to IoT implementation. These findings informed the development of the Aspiration, Implementation and Contribution (AIC) business model framework that offers guidance to organisations about how to adopt IoT in order to create value. Findings provide novel theoretical insight into the barriers and drivers influencing the implementation of IoT technologies. The development of the AIC business model will help standardise the realisation of value and implementation of IoT.",0,1
87,87,2021.0,Internet of Things for Agricultural Applications: The State of the Art,"Ojha, T; Misra, S; Raghuwanshi, NS","The advent of the Internet of Things (IoT) inspired various new and enhanced sets of applications in multiple domains including agriculture. The recent drive in the adoption of IoT technologies offers a major enhancement for the agricultural sectors in terms of efficiency and scalability. In this article, we investigate the specific issues and challenges associated with IoT, and review various IoT architectures, communication, middleware, and information processing technologies. We, then, discuss few IoT applications for agriculture-presenting various case studies to thoroughly analyze the solutions along with their design and implementation related parameters. Consequently, we provide a comprehensive review of the available simulation tools, data sets, and testbeds which provisions experimentation with IoT in agriculture. We enumerate open issues and challenges present in enabling IoT for agriculture. Finally, this article concludes while giving directions for future research.",0,1
88,88,2018.0,Dynamic Connectivity Game for Adversarial Internet of Battlefield Things Systems,"Abuzainab, N; Saad, W","In this paper, the problem of network connectivity is studied for an adversarial Internet of Battlefield Things (IoBT) system in which an attacker aims at disrupting the connectivity of the network by choosing to compromise one of the IoBT nodes at each time epoch. To counter such attacks, an IoBT defender attempts to reestablish the IoBT connectivity by either deploying new IoBT nodes or by changing the roles of existing nodes. This problem is formulated as a dynamic multistage Stackelberg connectivity game that extends classical connectivity games and that explicitly takes into account the characteristics and requirements of the IoBT network. In particular, the defender's payoff captures the IoBT latency as well as the sum of weights of disconnected nodes at each stage of the game. Due to the dependence of the attacker's and defender's actions at each stage of the game on the network state, the feedback Stackelberg solution [feedback Stackelberg equilibrium (FSE)] is used to solve the IoBT connectivity game. Then, sufficient conditions under which the IoBT system will remain connected, when the FSE solution is used, are determined analytically. Numerical results show that the expected number of disconnected sensors, when the FSE solution is used, decreases up to 46% compared to a baseline scenario in which a Stackelberg game with no feedback is used, and up to 43% compared to a baseline equal probability policy.",1,1
89,89,2017.0,"Privacy and Security in Internet-based Computing: Cloud Computing, Internet of Things, Cloud of Things: a review","Sahmim, S; Gharsellaoui, H","This paper gives insights into the most important existing problems of security and privacy of the Cloud Computing (CC), Internet of Things (IoT) and Cloud of Things (CoT) concepts especially confidentiality issue. With the evolution of ubiquitous computing, everything is connected everywhere, therefore these concepts have been widely studied in the literature. However, intrusions and vulnerabilities will be more recurrent due to the systems complexity and the difficulty to control each access attempt. To tackle this issue, researchers have been focused on various approaches enforcing security and privacy. In the present paper, risk factors and solutions regarding these technologies are reviewed then current and future trends are discussed. (C) 2017 The Authors. Published by Elsevier B.V.",0,1
91,91,2016.0,Cybersecurity in the Internet of Things: Legal aspects,"Weber, RH; Studer, E","The explosion in the number of smart, connected, and inherently insecure devices is shifting the security paradigm. While the Internet of Things technological shift will require clear legal frameworks, alternative approaches also need to be developed. This article examines the changing legal cybersecurity environment in the Internet of Things context. It discusses selected applicable international regulations as well as alternative approaches to addressing the security issues arising in the Internet of Things. (C) 2016 Rolf H. Weber/Evelyne Studer. Published by Elsevier Ltd. All rights reserved.",0,1
93,93,2017.0,Privacy Preservation in the Internet of Things,"Berrehili, FZ; Belmekki, A","The Internet of Things (IoT) is the future of Internet where users, machines and everyday Things have the ability to sense, communicate and interact with their environment. IoT promises a wide variety of applications to make the human's life more comfortable, safe and improve quality of life. It's also considered as big business opportunity for enterprises based on huge quantity of data gathered by connected Things. In the IoT applications such as smart home, smart city, heath and so on, Things cohabit with humans and deal with their personal data even the most private ones. When this data is collected massively and exposed to Internet without an explicit person's agreement, Things constitute by this way a threat for privacy, which is a universal human right. Thus privacy preservation is one of the most prominent issues in IoT. This paper analyzes the privacy in the context of IoT based on case study, and proposes mechanisms to improve security and preserve privacy. This analysis considers also the economic advantages related to the use of IoT as new business opportunity without personal private data disclosure. The proposed solutions are based on data anonymity technologies with recommendation for users and for developers of IoT application.",0,1
94,94,2016.0,Microlocation for Internet-of-Things-Equipped Smart Buildings,"Zafari, F; Papapanagiotou, I; Christidis, K","Microlocation is the process of locating any entity with a very high accuracy (possibly in centimeters), whereas geofencing is the process of creating a virtual fence around a point of interest (PoI). In this paper, we present an insight into various microlocation enabling technologies, techniques, and services. We also discuss how they can accelerate the incorporation of Internet of Things (IoT) in smart buildings. We argue that microlocation-based location aware solutions can play a significant role in facilitating the tenants of an IoT-equipped smart building. Also, such advanced technologies will enable the smart building control system through minimal actions performed by the tenants. We also highlight the existing and envisioned services to be provided by using microlocation enabling technologies. We describe the challenges and propose some potential solutions, such that microlocation enabling technologies and services are thoroughly integrated with IoT-equipped smart building.",0,1
95,95,2018.0,"Internet of Things (IoT): Research, Simulators, and Testbeds","Chernyshev, M; Baig, Z; Bello, O; Zeadally, S","The Internet of Things (IoT) vision is increasingly being realized to facilitate convenient and efficient human living. To conduct effective IoT research using the most appropriate tools and techniques, we discuss recent research trends in the IoT area along with current challenges faced by the IoT research community. Several existing and emerging IoT research areas such as lightweight energy-efficient protocol development, object cognition and intelligence, as well as the critical need for robust security and privacy mechanisms will continue to be significant fields of research for IoT. IoT research can be a challenging process spanning both virtual and physical domains through the use of simulators and testbeds to develop and validate the initial proof-of-concepts and subsequent prototypes. To support researchers in planning IoT research activities, we present a comparative analysis of existing simulation tools categorized based on the scope of coverage of the IoT architecture layers. We compare existing large-scale IoT testbeds that have been adopted by researchers for examining the physical IoT prototypes. Finally, we discuss several open challenges of current IoT simulators and testbeds that need to be addressed by the IoT research community to conduct large-scale, robust and effective IoT simulation, and prototype evaluations.",0,1
96,96,2016.0,Building Internet of Things software with ELIoT,"Sivieri, A; Mottola, L; Cugola, G","We present ELIoT, a development platform for Internet-connected smart devices. Unlike most solutions for the emerging Internet of Things (IoT), ELIoT allows programmers to implement functionality running within the networks of smart devices without necessarily leveraging the external Internet, and yet enables the integration of such functionality with Internet-wide services. ELIoT thus reconciles the demand for efficient localized performance, e.g., reduced latency for implementing control loops, with the need to integrate with the larger Internet. To this end, ELloT's programming model provides IoT-specific inter-process communication facilities, while its virtual machine-based execution caters for the need of software reconfiguration and the devices' heterogeneity. Moreover, ELIoT addresses network-wide integration concerns by enabling standard-compliant interactions through REST and CoAP interfaces, with the added ability to dynamically reconfigure REST interfaces as application requirements evolve. We demonstrate the features and effectiveness of ELIoT based on a smart-home application, and quantitatively derive performance figures atop two hardware platforms compared to implementations using plain C or Java using the AllJoin framework. Compared to the C implementation, our results indicate that the performance cost for the increased programming productivity brought by ELIoT is still viable; for example, memory consumption in ELIoT is comparable, whereas the processing overhead remains within practical limits. Compared to the Java implementation using AllJoin, ELIoT provides a similar level of abstraction in programming, with much better performance both in memory consumption and processing overhead. (C) 2016 Elsevier B.V. All rights reserved.",0,1
97,97,2010.0,Study on Framework of Internet of Things Based on EPC,"Xiao, WJ; Zhang, FZ; Geng, JZ; Yang, ZM; Cheng, P","On the basis of analyzing existing Internet of Things technologies, the basic components and framework of Internet of Things based on EPC are discussed. Hierarchical structure and features of its components are also established. Combining Internet of Things' architecture, functional modules in this framework are analyzed. At last, a new system model with four layers (apperceive layer, access layer, network layer, and application layer) is put forward, the primary functions of each layer are also introduced.",4,1
