Title,Abstract,Year,PDF Link,Authors,Source,Relevant
A Framework for Understanding the Factors Influencing Pair Programming Success,"<p>Pair programming is one of the more controversial aspects of several Agile system development methods, in particular eXtreme Programming (XP). Various studies have assessed factors that either drive the success or suggest advantages (and disadvantages) of pair programming. In this exploratory study the literature on pair programming is examined and factors distilled. These factors are then compared and contrasted with those discovered in our recent Delphi study of pair programming. Gallis et al. (2003) have proposed an initial framework aimed at providing a comprehensive identification of the major factors impacting team programming situations including pair programming. However, this study demonstrates that the framework should be extended to include an additional category of factors that relate to organizational matters. These factors will be further refined, and used to develop and empirically evaluate a conceptual model of pair programming (success).</p>",2005,http://dl.acm.org/citation.cfm?id=2135004&CFID=932216336&CFTOKEN=36192593,"Mustafa Ally, Fiona Darroch and Mark Toleman","Book Series Lecture Notes in Computer Science, Volume 3556/2005, Book Extreme Programming and Agile Processes in Software Engineering, Pages 82-91, SpringerLink Date Tuesday, May 24, 2005",0
A Methodology for Identifying Critical Success Factors That Influence Software Process Improvement Initiatives: An Application in the Brazilian Software Industry,"<p>Continuous improvement of software development capability is fundamental for organizations to thrive in competitive markets. Nevertheless, Software Process Improvement (SPI) initiatives have demonstrated limited results because SPI managers usually fail to cope with factors that have influence on the success of SPI. In this paper, we present the results of a multistrategy approach aiming to identify critical success factors (CSF) that have influence on SPI. The study results were confirmed by the literature review. The CSF were identified through a combination of qualitative and quantitative analyses of the results of a survey we conducted with SPI practitioners involved in Brazilian software industry experiences. We also identified the relationships of major factors that emerged from the survey. We expect that the major CSF presented in this paper can be used by SPI managers in the definition of SPI strategies aiming to enhance SPI initiatives success.</p>",2007,http://dl.acm.org/citation.cfm?id=2396189&CFID=932212135&CFTOKEN=75362817,Mariano Montoni and Ana Regina Rocha,"Book Series Lecture Notes in Computer Science,. Volume 4764/2007, Book Software Process Improvement, Pages 175-186, SpringerLink Date Thursday, September 13, 2007",0
A Model for Requirements Change Management: Implementation of CMMI Level 2 Specific Practice,"<p><p>OBJECTIVE --- The objective of this research is to implement CMMI Level 2 specific practice --- SP 1.3-1 manage requirements changes. In this paper we have proposed a model for requirements change management and also discussed initial validation of this model. This model is based on both an empirical study that we have carried out and our extensive literature review of software process improvement (SPI) and requirements engineering (RE).</p><p>METHOD --- For data collection we have interviewed SPI experts from reputed organisations. Further work includes analysing research articles, published experience reports and case studies. The initial evaluation of the model was performed via an expert review process.</p><p>RESULTS --- Our model is based on five core elements identified from literature and interviews: request, validate, implement, verify and update. Within each of these elements we have identified specific activities that need to take place during requirements change management process.</p><p>CONCLUSIONS --- The initial evaluation of the model shows that the requirements change management model is clear, easy to use and can effectively manage the requirements change process. However, more case studies are needed to evaluate this model in order to further evaluate its effectiveness in the domain of RE process.</p></p>",2008,http://dl.acm.org/citation.cfm?id=1425912&CFID=932208409&CFTOKEN=45987932,"Mahmood Niazi, Charles Hickman, Rashid Ahmad and Muhammad Ali Babar","Book Series Lecture Notes in Computer Science, Volume 5089/2008, Book Product-Focused Software Process Improvement, Pages 143-157, SpringerLink Date Tuesday, June 17, 2008",0
A Strategic Descriptive Review of the Intelligent Decision-making Support Systems Research: the 1980?2004 Period,"Abstract About 25 years ago, the Nobel laureate Herbert A. Simon and other top Management Science/Operations Research (MS/OR) and Artificial Intelligence (AI) researchers, suggested that an integration of the two disciplines would improve the design of decision-making support tools in organizations. The suggested integrated system has been called an intelligent decision-making support system (i-DMSS). In this chapter, we use an existing conceptual framework posed to assess the capabilities and limitations of the i-DMSS concept, and through a conceptual metaanalysis research of the Decision Support System (DSS) and AI literature from 1980 to 2004, we develop a strategic assessment of the initial proposal. Such an analysis reveals support gaps that suggest further development of the initial i-DMSS concept is needed. We offer recommendations for making the indicated improvements in i-DMSS design, development, and application.",2006,http://dx.doi.org/10.1007/1-84628-231-4_23,"Manuel Mora, Guisseppi Forgionne, Jatinder Gupta, Leonardo Garrido, Francisco Cervantes and Ovsei Gelman","Book Series Decision Engineering, Book Intelligent Decision-making Support Systems, Pages 441-462, SpringerLink Date Friday, March 30, 2007",0
A Survey of Software Estimation Techniques and Project Planning Practices,"Paper provides in depth review of software and project estimation techniques existing in industry and literature, its strengths and weaknesses. Usage, popularity and applicability of such techniques are elaborated. In order to improve estimation accuracy, such knowledge is essential. Many estimation techniques, models, methodologies exists and applicable in different categories of projects. None of them gives 100% accuracy but proper use of them makes estimation process smoother and easier. Organizations should automate estimation procedures, customize available tools and calibrate estimation approaches as per their requirements. Proposed future work is to study factors involved in Software Engineering Approaches (Software Estimation in focus) for Offshore and Outsourced Software Development taking Pakistani IT Industry as a Case Study",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1640709,By Mehwish Nasir,"Found in: Seventh ACIS International Conference on Software Engineering, Artificial Intelligence, Networking, and Parallel/Distributed Computing (SNPD'06) 
Issue Date:June 2006 , pp. 305-310",0
A survey on model-based testing approaches: a systematic review,"This paper describes a systematic review performed on model-based testing (MBT) approaches. A selection criterion was used to narrow the initially identified four hundred and six papers to focus on seventy-eight papers. Detailed analysis of these papers shows where MBT approaches have been applied, the characteristics, and the limitations. The comparison criteria includes representation models, support tools, test coverage criteria, the level of automation, intermediate models, and the complexity. This paper defines and explains the review methodology and presents some results.",2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5358707,"Arilo C. Dias Neto, Rajesh Subramanyan, Marlon Vieira, Guilherme H. Travassos","WEASELTech '07: Proceedings of the 1st ACM international workshop on Empirical assessment of software engineering languages and technologies: held in conjunction with the 22nd IEEE/ACM International Conference on Automated Software Engineering (ASE) 2007 , November 2007 , Publisher: ACM",0
A Systematic Review Measurement in Software Engineering: State-of-the-Art in Measures,"The present work provides a summary of the state of art in software measures by means of a systematic review on the current literature. Nowadays, many companies need to answer the following questions: How to measure?, When to measure and What to measure?. There have been a lot of efforts made to attempt to answer these questions, and this has resulted in a large amount of data what is sometimes confusing and unclear information. This needs to be properly processed and classified in order to provide a better overview of the current situation. We have used a Measurement Software Ontology to classify and put the amount of data in this field in order. We have also analyzed the results of the systematic review, to show the trends in the software measurement field and the software process on which the measurement efforts have focused. It has allowed us to discover what parts of the process are not supported enough by measurements, to thus motivate future research in those areas.",2012,http://dl.acm.org/citation.cfm?id=2372274&CFID=932212811&CFTOKEN=64259995,"Oswaldo G?mez, Hanna Oktaba, Mario Piattini and F?lix Garc?a","Book Series Communications in Computer and Information Science, Volume 10, Book Software and Data Technologies, Part 3, Pages 165-176, SpringerLink Date Friday, July 18, 2008",0
Adoption-Centric Software Maintenance Process Improvement via Information Integration,"Software process improvement is an iterative activity, normally involving measurement, analysis, and change. For most organizations, the existing software process has substantial momentum and is seemingly immovable. Any change to existing process activities causes turbulence in the organization, which can be a significant barrier to adoption of the quality improvement initiative. This paper presents a quiescent, non-invasive, and adoption-centric approach to process improvement for software maintenance. The approach realizes the goal of improving the efficiency of existing processes by minimizing changes to existing workflows and focusing on integrating enhancements at the micro-level of the system. By leveraging information buried in existing data, making it explicit, and integrating the results with known facts, more informed decision-making is made possible. The approach is illustrated with a model problem concerning redocumentation of an embedded control system in the context of performing higher-quality software maintenance",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1691628,"By Shihong Huang , Scott Tilley , Mike VanHilst , Damiano Distante","13th IEEE International Workshop on Software Technology and Engineering Practice (STEP'05)  
Issue Date:September 2005 
pp. 25-34",0
Advances in dataflow programming languages.,"Many developments have taken place within dataflow programming languages in the past decade. In particular, there has been a great deal of activity and advancement in the field of dataflow visual programming languages. The motivation for this article is to review the content of these recent developments and how they came about. It is supported by an initial review of dataflow programming in the 1970s and 1980s that led to current topics of research. It then discusses how dataflow programming evolved toward a hybrid von Neumann dataflow formulation, and adopted a more coarse-grained approach. Recent trends toward dataflow visual programming languages are then discussed with reference to key graphical dataflow languages and their development environments. Finally, the article details four key open topics in dataflow programming languages.",1994,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=265657,"W. M. Johnston, J. R. P. Hanna, and R. J. Millar.","Acm Computing Surveys 36 (1):1-34, 2004.",0
Agile Methods: The Gap between Theory and Practice,"Since the software crisis of the 1960ís, numerous methodologies have been developed to impose a disciplined process upon software development. Today, these methodologies are noted for being unsuccessful and unpopular due to their increasingly bureaucratic nature. Many researchers and academics are calling for these heavyweight methodologies to be replaced by agile methods. However, there is no consensus as to what constitutes an agile method. An Agile Manifesto was put forward in 2001, but many variations, such as XP, SCRUM and Crystal exist. Each adheres to some principles of the Agile Manifesto and disregards others. My research proposes that these principles lack grounding in theory, and lack a respect for the concept of agility outside the field of Information Systems Development (ISD). This study aims to develop a comprehensive framework of ISD agility, to determine if this framework is adhered to in practice and to determine if such adherence is rewarded. The framework proposes that it is insufficient to just accept agile methods as superior to all others. In actual fact, an ISD team have to identify whether they need to be agile, and to compare this to their agile capabilities before deciding how agile their eventual method should be. Furthermore this study proposes that an agile method is not just accepted and used. Rather it may be selected from a portfolio of methods, it may be constructed from parts of methods, or indeed it may be the product of the ISD teamís deviation from a different method altogether. Finally, this study recognises that agility does not simply come from a method. In actual fact, a cross-disciplinary literature review suggests that it is important to classify sources of agility, which could be the people on team, the way they are organised, the technology they use or the external environment with which they interact. A three phase research method is adopted, incorporating a set of pilot interviews, a large-scale survey and finally, a set of case studies. The survey is intended to produce generalisable results while the case studies are carried out to obtaining much needed qualitative information in an emerging field where little is currently known.",2015,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7271174,Kieran Conboy,"Book Series Lecture Notes in Computer Science, Volume 3092/2004, Book Extreme Programming and Agile Processes in Software Engineering, Page 316, SpringerLink Date Friday, May 14, 2004",0
An Empirical Exploration of the Distributions of the Chidamber and Kemerer Object-Oriented Metrics Suite,"<p>The object-oriented metrics suite proposed by Chidamber and Kemerer (CK) is a measurement approach towards improved object-oriented design and development practices. However, existing studies evidence traces of collinearity between some of the metrics and low ranges of other metrics, two facts which may endanger the validity of models based on the CK suite. As high correlation may be an indicator of collinearity, in this paper, we empirically determine to what extent high correlations and low ranges might be expected among CK metrics.</p><p>To draw as much general conclusions as possible, we extract the CK metrics from a large data set (200 public domain projects) and we apply statistical meta-analysis techniques to strengthen the validity of our results. Homogenously through the projects, we found a moderate (&sim;0.50) to high correlation (&gt;0.80) between some of the metrics and low ranges of other metrics.</p><p>Results of this empirical analysis supply researchers and practitioners with three main advises: a) to avoid the use in prediction systems of CK metrics that have correlation more than 0.80 b) to test for collinearity those metrics that present moderate correlations (between 0.50 and 0.60) c) to avoid the use as response in continuous parametric regression analysis of the metrics presenting low variance. This might therefore suggest that a prediction system may not be based on the whole CK metrics suite, but only on a subset consisting of those metrics that do not present either high correlation or low ranges.</p>",2005,http://dl.acm.org/citation.cfm?id=1032629&CFID=932218020&CFTOKEN=89258330,"Giancarlo Succi, Witold Pedrycz, Snezana Djokic, Paolo Zuliani, Barbara Russo","Empirical Software Engineering,   Volume 10 Issue 1, January 2005, Publisher: Kluwer Academic Publishers",0
An Empirical Study to Investigate Software Estimation Trend in Organizations Targeting CMMI^SM,"This paper discusses software estimation practices existing in industry and literature, its strengths and weaknesses. Main focus is the gap analysis of organization with respect to CMMI level 3 for SE/SW/IPPD/SS. Data collection reveals that company makes use of heuristic approaches in which expert judgment supplemented with wideband Delphi, was mainly used for software estimation. In the light of CMMI level 3 for SE/SW, it was suggested that formal methods for estimating size, effort and cost for the project should be implemented apart from heuristics used for estimation. Different estimation methodologies are applicable in different categories of projects. None of them gives 100% accuracy but proper use of them makes estimation process smoother. Future work is calibration of parametric software estimation approaches for the organization under study by making use of organizational process database to plan, estimate and tailor project variables that best suits organization's processes and procedures",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1651967,"By Mehwish Nasir , H. Farooq Ahmad","Found in: 5th IEEE/ACIS International Conference on Computer and Information Science and 1st IEEE/ACIS International Workshop on Component-Based Software Engineering,Software Architecture and Reuse (ICIS-COMSAR'06) 
Issue Date:July 2006 , pp. 38-43",0
Architecture-Based Software Reliability Analysis: Overview and Limitations,"With the growing size and complexity of software applications, research in the area of architecture-based software reliability analysis has gained prominence. The purpose of this paper is to provide an overview of the existing research in this area, critically examine its limitations, and suggest ways to address the identified limitations",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4099190,By Swapna S. Gokhale,"IEEE Transactions on Dependable and Secure Computing
Issue Date:January 2007 
pp. 32-40",0
Autonomic and Trusted Computing Paradigms,"The emerging autonomic computing technology has been hailed by world-wide researchers and professionals in academia and industry. Besides four key capabilities, well known as self-CHOP, we propose an additional self-regulating capability to explicitly emphasize the policy-driven self-manageability and dynamic policy derivation and enactment. Essentially, these five capabilities, coined as Self-CHROP, define an autonomic system along with other minor properties. Trusted computing targets guaranteed secured systems. Self-protection alone does not ensure the trustworthiness in autonomic systems. The new trend is to integrate both towards trusted autonomic computing systems. This paper presents a comprehensive survey of the autonomic and trusted computing paradigms and a preliminary conceptual architecture towards trustworthy autonomic grid computing.",2013,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6673090,"Xiaolin Li, Hui Kang, Patrick Harrington and Johnson Thomas","Book Series Lecture Notes in Computer Science, Volume 4158/2006, Book Autonomic and Trusted Computing, Pages 143-152, SpringerLink Date Wednesday, October 04, 2006",0
Building Reverse Engineering Tools with Software Components: Ten Lessons Learned,"My dissertation explores a new approach to construct tools in the domain of reverse engineering. The approach uses already available software components as building blocks, combining and customizing them programmatically. This approach can be characterized as component-based tool-building. The goal of the dissertation is to advance the current state of component-based tool-building towards a discipline that is more predictable and formal. This is achieved with three research contributions: (1) an in-depth literature survey that identifies requirements for reverse engineering tools, (2) a number of tool case studies that utilize component-based tool-building, (3) and ten lessons learned for tool builders that have been distilled from these case studies.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4400180,By Holger M. Kienle,"Found in: 14th Working Conference on Reverse Engineering (WCRE 2007) 
Issue Date:October 2007 
pp. 289-292",0
Case Study of Breakdown Analysis on Identification of Remote Team Communication Problems,"<p>The purpose is to apply breakdown analysis in identifying problems of distributed communication. Sample comprises Intranet and Internet teams. The methodology is breakdown analysis. Research framework comprises user-user, user-tool and user-task. The tools include videoconferencing and data conferencing. Transcript coding and qualitative analysis were followed. Procedures include literature review, development of framework, sampling, tool setup and breakdown analysis. Five problem indicators of user-user included unclearness of participant&#39;s oral expression, disagreement, off-task, no answer and keep silence. Problem indicators of user-tool were incorrect configuration, unstable facilities and broadband, unfamiliarity with application and facilities. User-task problem indicators included uncompleted task, participant&#39;s lateness and ignorance of assigned task. Causes of problems included participant&#39;s familiarity, ignorance of task and lateness in meeting. There was no difference of problem indicators between Intranet and Internet connection. Implications included consideration of participant&#39;s familiarity, asynchronous communica-tion is in need during inter-meeting and better planning and preparation of facilitator.</p>",2005,http://dl.acm.org/citation.cfm?id=2096367&CFID=932218301&CFTOKEN=93603127,Lai-Chung Lee and Whei-Jane Wei,"Book Series Lecture Notes in Computer Science, Volume 3865/2006, Book Computer Supported Cooperative Work in Design II, Pages 122-130, SpringerLink Date Sunday, February 26, 2006",0
Changing perceptions of CASE technology,"The level to which CASE technology has been successfully deployed in IS and software development organisations has been at best variable. Much has been written about an apparent mismatch between user expectations of the technology and the products which are developed for the growing marketplace. In this paper we explore how this tension has developed over time, with the aim of identifying and characterising the major factors contributing to it. We identify three primary themes: volatility and plurality in the marketplace; the close relationship between tools and development methods; and the context sensitivity of feature assessment. By exploring the tension and developing these themes we hope to further the debate on how to improve evaluation of CASE prior to adoption.",2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5420441,"Lundell, B.a , Lings, B.b","(2004) Journal of Systems and Software, 72 (2), pp. 271-280. Cited 5 times.",0
Cognitive differences between procedural programming and object oriented programming,"Software development is moving from procedural programming towards object-oriented programming (OOP). Past studies in cognitive aspects of programming have focused primarily on procedural programming languages. Object-oriented programming is a new paradigm for computing. Industry is finding that programmers are having difficulty shifting to this new programming paradigm.

Findings in prior research revealed that procedural programming requires Piaget's formal operation cognitive level. New from this research is that OOP also requires Piaget's formal operation cognitive level. Also new is that OOP appears to be unrelated to hemispheric cognitive style. OOP appears to be hemispheric style friendly, while procedural programming is preferential to left hemispheric cognitive style.

The conclusion is that cognitive requirements are not the cause for the difficulty in shifting from procedural to OOP. An alternative possibility to the difficulty is proactive interference of learning procedural programming prior to learning object oriented programming.",2005,http://dl.acm.org/citation.cfm?id=1093735&CFID=932217147&CFTOKEN=98998217,"White, G., Sivitanides, M.","(2005) Information Technology and Management, 6 (4), pp. 333-350.",0
Combining Behaviour and Structure,,2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5660381,Richard Sharp,"Book Series Lecture Notes in Computer Science, Volume 2963/2004, Book Higher Level Hardware Synthesis, Pages 129-139, SpringerLink Date Friday, March 12, 2004",0
Commonalities in Risk Management and Agile Process Models,"On the surface, agile and risk management process models seem to constitute two contrasting approaches. Risk management follows a heavyweight approach whereas agile process models oppose it. In this paper, we identify commonalities in these two process models. Our results show that they have much in common, and that a merge between them is possible.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4299901,"By Jaana Nyfjord , Mira Kajko-Mattsson","Found in: International Conference on Software Engineering Advances (ICSEA 2007) 
Issue Date:August 2007 
pp. 18",0
Component airbag: a novel approach to develop dependable component-based applications,"The increasing use of ""commercial off-the-shelf"" (COTS) components in safety critical scenarios, arises new issues related to the ""dependable"" use of third-party software in such contexts. The characteristics of these components, designed for a generic use, are such to make unpredictable the effects of their use whenever they are integrated in the entire system. The author's Ph.D project aim at proposing an approach to improve dependability of COTS based application, which consists of the following phases: i) each component is stimulated by proper workloads in order to learn the failure behavior; ii) from failure behaviors, the component failure model is defined; and iii) once the failure model is known for each component, the ""component airbag"" is thus created, i.e. a container able of exploiting the failure model in order to monitor and prevent the component from failing. An existent literature analysis, regarding the more used dependability assessment and improvement strategies, is also presented.",2007,http://dl.acm.org/citation.cfm?id=1295052&CFID=932217904&CFTOKEN=45476425,Roberto Pietrantuono,"ESEC-FSE '07: Proceedings of the the 6th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering, September 2007, Publisher: ACM",0
Conceptual Modeling for Simulation: Issues and Research Requirements,"It is generally recognized that conceptual modeling is one of the most vital parts of a simulation study. At the same time, it also seems to be one of the least understood. A review of the extant literature on conceptual modeling reveals a range of issues that need to be addressed: the definition of conceptual model(ling), conceptual model requirements, how to develop a conceptual model, conceptual model representation and communication, conceptual model validation, and teaching conceptual modeling. It is clear that this is an area ripe for further research, for the clarification of ideas and the development of new approaches. Some areas in which further research could be carried out are identified",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4117684,By S. Robinson,"Found in: Proceedings of the 2006 Winter Simulation Conference 
Issue Date:December 2006 
pp. 792-800",0
Critic systems - Towards human-computer collaborative problem solving,"Human-computer collaboration is extremely necessary for solving ill-structured problems and critic systems can effectively facilitate human-computer collaborative problem solving. This paper conducts a systematic study on critic systems. First, the concepts of critic systems are presented. Then, a literature review is presented on critic systems. Afterwards, a generic architecture is put forward for critic systems, with its important aspects being analyzed. Finally, two case studies are given to illustrate critic systems.",2016,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427362,"Tianfield, H., Wang, R.","Critic systems - Towards human-computer collaborative problem solving
(2004) Artificial Intelligence Review, 22 (4), pp. 271-295.",0
Critical success factors for software process improvement implementation: An empirical study,"In this article, we present findings from our recent empirical study of the critical success factors (CSFs) for software process improvement (SPI) implementation with 34 SPI practitioners. The objective of this study is to provide SPI practitioners with sufficient knowledge about the nature of issues that play a positive role in the implementation of SPI programmes in order to assist them in effectively planning SPI implementation strategies. Through our empirical study we identified seven factors (higher management support, training, awareness, allocation of resources, staff involvement, experienced staff and defined SPI implementation methodology) that are generally considered critical for successfully implementing SPI. We also report on a literature survey of CSFs that impact SPI and identify six factors (senior management commitment, staff involvement, staff time and resources, training and mentoring, creating process action teams and reviews). We compared our empirical study results with the literature and confirmed the factors identified in the literature, and also identified two new CSFs (SPI awareness and defined SPI implementation methodology) that were not identified in the literature. Finally, we analyzed the CSFs identified by different groups of practitioners and found that they are aware of what is imperative for the successful implementation of SPI programmes. ",2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5917014,"Niazi, M.a b , Wilson, D.c , Zowghi, D.c","(2006) Software Process Improvement and Practice, 11 (2), pp. 193-211. Cited 6 times.",0
Designing Mobile Shared Workspaces for Loosely Coupled Workgroups,"<p>Recent advances in mobile computing devices and wireless communication have brought the opportunity to transport the shared workspace metaphor to mobile work scenarios. Unfortunately, there are few guidelines to support the design of these mobile shared workspaces. This paper proposes a design process and several guidelines to support the modeling of these groupware systems. Particularly, workspaces that support loosely coupled workgroups. The process and guidelines are based on a literature review and authors' experience in the development of mobile shared workspaces.</p>",2007,http://dl.acm.org/citation.cfm?id=1784445&CFID=932216748&CFTOKEN=35418865,"Andr?s Neyem, Sergio F. Ochoa and Jos? A. Pino","Book Series Lecture Notes in Computer Science, Volume 4715/2007, Book Groupware: Design, Implementation, and Use, Pages 173-190, SpringerLink Date Thursday, August 30, 2007",0
Developing an algorithm for si engine diagnosis using parity relations,"Diagnosis is an algorithm for finding and isolating faults in a dynamic system. In 1994, California designated some regulations which were called OBD II. According to these regulations, there is a system installed in an automobile which can analyze the function of the automobile continuously. The decrease of pollution for the expansion of diagnostic system is necessary in the future. To reach the aims of diagnosis, some redundancies are required in the system, either hardware or soft ware. In the hardware redundancy methods, the installation of additional sensors or actuators on the system is required which is costly and takes up a lot of space, whereas in software redundancy methods, this is done with no expense. In this article, one of the software redundancy methods or analytical methods is implied for solving the problem. At first a discussion on literature survey is mentioned, and then a modified mathematical model for SI engine is acquired. The usage of this method and parity space relations, which is a model based method, accomplished the process of diagnosis. Developing a modified SI engine model and diagnosis of MAT sensor which less has been considered besides other components are this article contributions.",2006,http://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=1603013,"Mostofi, M., Shamekhi, A.H., Ziabasharhagh, M.","(2006) American Society of Mechanical Engineers, Dynamic Systems and Control Division (Publication) DSC, 7 p.",0
Development of software engineering: A research perspective.,"In the past 40 years, software engineering has emerged as an important sub-field of computer science and has made significant contribution to the software industry. Now it is gradually becoming a new independent discipline. This paper presents a survey of software engineering development from a research perspective. Firstly, the history of software engineering is reviewed with focus on the driving forces of software technology, the software engineering framework and the milestones of software engineering development. Secondly, after reviewing the past academic efforts, the current research activities are surveyed and new challenges brought by Internet are analyzed. Software engineering researches and activities in China are also reviewed. The work in Peking University is described as a representative.",2013,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6757849,"H. Mei, D. G. Cao, and F. Q. Yang.","Journal of Computer Science and Technology 21 (5):682-696, 2006.",0
Distributed real time database systems: background and literature review,"<p>Today's real-time systems (RTS) are characterized by managing large volumes of dispersed data making real-time distributed data processing a reality. Large business houses need to do distributed processing for many reasons, and they often must do it in order to stay competitive. So, efficient database management algorithms and protocols for accessing and manipulating data are required to satisfy timing constraints of supported applications. Therefore, new research in distributed real-time database systems (DRTDBS) is needed to investigate possible ways of applying database systems technology to real-time systems. This paper first discusses the performance issues that are important to DRTDBS, and then surveys the research that has been done so far on the issues like priority assignment policy, commit protocols and optimizing the use of memory in non-replicated/replicated environment pertaining to distributed real time transaction processing. In fact, this study provides a foundation for addressing performance issues important for the management of very large real time data and pointer to other publications in journals and conference proceedings for further investigation of unanswered research questions.</p>",2008,http://dl.acm.org/citation.cfm?id=1345963&CFID=932220433&CFTOKEN=21413890,"Udai Shanker, Manoj Misra and Anil K. Sarje","Journal Distributed and Parallel Databases,. Volume 23, Number 2 / April, 2008, SpringerLink Date Saturday, January 26, 2008",0
Effective Data Interpretation,"Data interpretation is an essential element of mature software project management and empirical software engineering. As far as project management is concerned, data interpretation can support the assessment of the current project status and the achievement of project goals and requirements. As far as empirical studies are concerned, data interpretation can help to draw conclusions from collected data, support decision making, and contribute to better process, product, and quality models. With the increasing availability and usage of data from projects and empirical studies, effective data interpretation is gaining more importance. Essential tasks such as the data-based identification of project risks, the drawing of valid and usable conclusions from individual empirical studies, or the combination of evidence from multiple studies require sound and effective data interpretation mechanisms. This article sketches the progress made in the last years with respect to data interpretation and states needs and challenges for advanced data interpretation. In addition, selected examples for innovative data interpretation mechanisms are discussed. ",2016,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7849384,JÅrgen MÅnch,"Book Series Lecture Notes in Computer Science, Volume 4336/2007, Book Empirical Software Engineering Issues. Critical Assessment and Future Directions, Pages 83-90, SpringerLink Date Monday, June 11, 2007",0
Embedded Systems Development: Quest for Productivity and Reliability,"It is widely agreed that the state of art in methodologies, techniques and tools for embedded systems development is many years behind their desktop counterparts. The job of the embedded software developer is further complicated by the increasing tendency of system designers to shift functionality and complexity away from hardware and into software. As part of an ongoing research at Philips Semiconductors, we have been investigating solutions to the two main problems of productivity and reliability in embedded software development. This paper describes our research effort in this investigation. Specifically, the paper first describes the requirements on embedded systems and their development challenges. It then provides a literature survey of some techniques that address the issues of productivity and reliability. With this background the paper proposes a model driven architectural approach to embedded software development.",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1595745,"By Abdelgadir E. Ibrahim , Liping Zhao , John Kinghorn","Found in: Fifth International IEEE Conference on Commercial-off-the-Shelf (COTS)-Based Software Systems (ICCBSS'06) 
Issue Date:February 2006 
pp. 23-32",0
Empiricism in Computer Science,"As the name computer science already implies, the study of computers is a field of science.
Computer Science (CS) as it exists today lacks to a certain extent, what other sciences rely
most on: An empirical body of knowledge. This paper looks at several meta studies which
have analyzed the presence of empirical data on CS subjects. It also provides an overview of
empiricism in general, some empirical concepts and where computer science and empiricism
intersect.",1992,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=624546,Eike Send,"Seminar ?Open Source Software Engineering?
Winterterm 2004",0
Empowering the users? A critical textual analysis of the role of users in open source software development,"<p>This paper outlines a critical, textual approach for the analysis of the relationship between different actors in information technology (IT) production, and further concretizes the approach in the analysis of the role of users in the open source software (OSS) development literature. Central concepts of the approach are outlined. The role of users is conceptualized as <i>reader involvement</i> aiming to contribute to the <i>configuration of the reader</i> (to how users and the parameters for their work practices are defined in OSS texts). Afterwards, OSS literature addressing <i>reader involvement</i> is critically reviewed. In OSS context, the OSS writers as readers <i>configure the reader</i> and other readers are assumed to be capable of and interested in commenting the texts. A lack of OSS research on non-technical reader involvement is identified. Furthermore, not only are the OSS readers configured, but so are OSS writers. In OSS context while writers may be empowered, this clearly does not apply to the non-technical OSS readers. Implication for research and practice are discussed.</p>",2008,http://dl.acm.org/citation.cfm?id=1453018&CFID=932219391&CFTOKEN=21730739,Netta Iivari,"Journal AI & Society, Category Original Article, Journal AI & Society, SpringerLink Date Tuesday, July 29, 2008
SpringerLink Date Tuesday, July 29, 2008",0
Engineering the Ontology for the SWEBOK: Issues and Techniques,"Auyang [2] described engineering as ìthe science of productionî. This and many other 
definitions of engineering put an emphasis on disciplined artifact creation as the essence of 
any engineering discipline. However, the material object produced by every engineering 
discipline is not necessarily of a similar nature. The case of software engineering is 
particularly relevant in the illustration of such differences, since software as an artifact is",2003,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1241207,"Alain Abran, Juan Cuadrado, Elena Garc?a-Barriocanal, Olavo Mendes, Salvador S?nchez-Alonso and Miguel Sicilia","Book Ontologies for Software Engineering and Software Technology, Pages 103-121, SpringerLink Date Thursday, October 12, 2006",0
