Index,Year,Title,Authors,Abstract,Topics
30,2020.0,Machine Learning Models for Automatic Labeling: A Systematic Literature Review,"Fredriksson, T; Bosch, J; Olsson, H","Automatic labeling is a type of classification problem. Classification has been studied with the help of statistical methods for a long time. With the explosion of new better computer processing units (CPUs) and graphical processing units (GPUs) the interest in machine learning has grown exponentially and we can use both statistical learning algorithms as well as deep neural networks (DNNs) to solve the classification tasks. Classification is a supervised machine learning problem and there exists a large amount of methodology for performing such task. However, it is very rare in industrial applications that data is fully labeled which is why we need good methodology to obtain error-free labels. The purpose of this paper is to examine the current literature on how to perform labeling using ML, we will compare these models in terms of popularity and on what datatypes they are used on. We performed a systematic literature review of empirical studies for machine learning for labeling. We identified 43 primary studies relevant to our search. From this we were able to determine the most common machine learning models for labeling. Lack of unlabeled instances is a major problem for industry as supervised learning is the most widely used. Obtaining labels is costly in terms of labor and financial costs. Based on our findings in this review we present alternate ways for labeling data for use in supervised learning tasks.",0
31,2020.0,Statistical and machine learning models in credit scoring: A systematic literature survey,"Dastile, X; Celik, T; Potsane, M","In practice, as a well-known statistical method, the logistic regression model is used to evaluate the credit-worthiness of borrowers due to its simplicity and transparency in predictions. However, in literature, sophisticated machine learning models can be found that can replace the logistic regression model. Despite the advances and applications of machine learning models in credit scoring, there are still two major issues: the incapability of some of the machine learning models to explain predictions; and the issue of imbalanced datasets. As such, there is a need for a thorough survey of recent literature in credit scoring. This article employs a systematic literature survey approach to systematically review statistical and machine learning models in credit scoring, to identify limitations in literature, to propose a guiding machine learning framework, and to point to emerging directions. This literature survey is based on 74 primary studies, such as journal and conference articles, that were published between 2010 and 2018. According to the meta-analysis of this literature survey, we found that in general, an ensemble of classifiers performs better than single classifiers. Although deep learning models have not been applied extensively in credit scoring literature, they show promising results. (C) 2020 Elsevier B.V. All rights reserved.",1
32,2021.0,A systematic literature review on machine learning applications for consumer sentiment analysis using online reviews,"Jain, PK; Pamula, R; Srivastava, G","Consumer sentiment analysis is a recent fad for social media-related applications such as healthcare, crime, finance, travel, and in academia. Disentangling consumer perception to gain insight into the desired objective and reviews is significant. With the advancement of technology, a massive amount of social web data increasing in volume, subjectivity, and heterogeneity becomes challenging to process manually. Machine learning (ML) techniques have been utilized to handle this difficulty in real-life applications. This paper presents a study to determine the usefulness, scope, and applicability of this alliance of ML techniques for consumer sentiment analysis (CSA) for online reviews in the domain of hospitality and tourism. We show a systematic literature review to compare, analyse, explore, and understand the attempts and directions to find research gaps in illustrating the future scope of this pairing. The primary objective is to read and analyse the use of ML techniques for consumer sentiment analysis on online reviews in the domain of hospitality and tourism. This research has significant implications for service providers in terms of developing managerial strategies for consumers in terms of selecting services that meet their needs. Furthermore, there is high impact for researchers in terms of prospective research directions.",0
33,2020.0,Securing Machine Learning in the Cloud: A Systematic Review of Cloud Machine Learning Security,"Qayyum, A; Ijaz, A; Usama, M; Iqbal, W; Qadir, J; Elkhatib, Y; Al-Fuqaha, A","With the advances in machine learning (ML) and deep learning (DL) techniques, and the potency of cloud computing in offering services efficiently and cost-effectively, Machine Learning as a Service (MLaaS) cloud platforms have become popular. In addition, there is increasing adoption of third-party cloud services for outsourcing training of DL models, which requires substantial costly computational resources (e.g., high-performance graphics processing units (GPUs)). Such widespread usage of cloud-hosted ML/DL services opens a wide range of attack surfaces for adversaries to exploit the ML/DL system to achieve malicious goals. In this article, we conduct a systematic evaluation of literature of cloud-hosted ML/DL models along both the important dimensions-attacks and defenses-related to their security. Our systematic review identified a total of 31 related articles out of which 19 focused on attack, six focused on defense, and six focused on both attack and defense. Our evaluation reveals that there is an increasing interest from the research community on the perspective of attacking and defending different attacks on Machine Learning as a Service platforms. In addition, we identify the limitations and pitfalls of the analyzed articles and highlight open research issues that require further investigation.",4
34,2019.0,Machine Learning for Hardware Trojan Detection: A Review,"Liakos, KG; Georgakilas, GK; Moustakidis, S; Karlsson, P; Plessas, FC","Every year, the rate at which technology is applied on areas of our everyday life is increasing at a steady pace. This rapid development drives the technology companies to design and fabricate their integrated circuits (ICs) in non-trustworthy outsourcing foundries in order to reduce the cost. Thus, a synchronous form of virus, known as Hardware Trojans (HTs), was developed. HTs leak encrypted information, degrade device performance or lead to total destruction. To reduce the risks associated with these viruses, various approaches have been developed aiming to prevent and detect them, based on conventional or machine learning methods. Ideally, any undesired modification made to an IC should be detectable by pre-silicon verification/simulation and post-silicon testing. The infected circuit can be inserted in different stages of the manufacturing process, rendering the detection of HTs a complicated procedure. In this paper, we present a comprehensive review of research dedicated to applications based on Machine Learning for the detection of HTs in ICs. The literature is categorized in (a) reverse- engineering development for the imaging phase, (b) real-time detection, (c) golden model-free approaches, (d) detection based on gate-level netlists features and (e) classification approaches.",3
35,2020.0,Machine learning applied to road safety modeling: A systematic literature review,"Silva, PB; Andrade, M; Ferreira, S","Road safety modeling is a valuable strategy for promoting safe mobility, enabling the development of crash prediction models (CPM) and the investigation of factors contributing to crash occurrence. This modeling has traditionally used statistical techniques despite acknowledging the limitations of this kind of approach (specific assumptions and prior definition of the link functions), which provides an opportunity to explore alternatives such as the use of machine learning (ML) techniques. This study reviews papers that used ML techniques for the development of CPM. A systematic literature review protocol was conducted, that resulted in the analysis of papers and their systematization. Three types of models were identified: crash frequency, crash classification by severity, and crash frequency and severity. The first is a regression problem, the second, a classificatory one and the third can be approached either as a combination of the preceding two or as a regression model for the expected number of crashes by severity levels. The main groups of techniques used for these purposes are nearest neighbor classification, decision trees, evolutionary algorithms, support-vector machine, and artificial neural networks. The last one is used in many kinds of approaches given the ability to deal with both regression and classification problems, and also multivariate response models. This paper also presents the main performance metrics used to evaluate the models and compares the results, showing the clear superiority of the ML-based models over the statistical ones. In addition, it identifies the main explanatory variables used in the models, which shows the predominance of road-environmental aspects as the most important factors contributing to crash occurrence. The review fulfilled its objective, identifying the various approaches and the main research characteristics, limitations, and opportunities, and also highlighting the potential of the usage of ML in crash analyses. (C) 2020 Periodical Offices of Chang'an University. Publishing services by Elsevier B.V. on behalf of Owner.",1
36,2021.0,Machine Learning in Finance: A Metadata-Based Systematic Review of the Literature,"Warin, T; Stojkov, A","Machine learning in finance has been on the rise in the past decade. The applications of machine learning have become a promising methodological advancement. The paper's central goal is to use a metadata-based systematic literature review to map the current state of neural networks and machine learning in the finance field. After collecting a large dataset comprised of 5053 documents, we conducted a computational systematic review of the academic finance literature intersected with neural network methodologies, with a limited focus on the documents' metadata. The output is a meta-analysis of the two-decade evolution and the current state of academic inquiries into financial concepts. Researchers will benefit from a mapping resulting from computational-based methods such as graph theory and natural language processing.",4
37,2020.0,MACHINE LEARNING FOR FINANCIAL APPLICATIONS-A MINI-REVIEW,"Clement, C","There is an increasing interest in utilizing machine learning in financial applications, with an increasing number of researchers contributing to the literature. Considerable amount of research has been published from academics and industry and there has been a constant focus on which is the best tool to be used for specific applications. The momentum of research on this topic does not mean that it is not faced with challenges. This paper, through a mini scoping review of a number of 342 texts published in the year of 2019 on Scopus, aims at providing academics and practitioners with a broad overview picture of the current literature on machine learning applied in finance. The review shows that even though the focus is on the techniques applied in the field of finance, most papers are published in computer science or engineering thematic journals, with economics, econometrics or finance researchers on the fifth place with a mere 4.2% of papers published. Finally, it is concluded that the interest in machine learning for financial applications is undoubtedly continously increasing with still room for research on the area, being it research or review papers.",4
38,2019.0,Data mining and machine learning in the context of sustainable evaluation: a literature review,"de Souza, JT; de Francisco, AC; Piekarski, CM; do Prado, GF; de Oliveira, LG","Measuring and evaluating the sustainable performance of an organization has become an important and challenging topic because it involves the economic, social and environmental dimensions, helping the development of policies and becoming strategic factors in the decision-making process. However, difficulties are still encountered by managers in adequately assessing sustainability at the corporate level. In this perspective, data mining and machine learning are presented as techniques for extracting potentially useful information for generation of knowledge. Therefore, the purpose of this article is to identify, by means of a literature review, different approaches used to assist in the evaluation of sustainable performance. The method called Methodi Ordinatio was used for the review and, for the analysis, the software tools: VOSviewer e RStudio. By means of the methodological procedure adopted, 33 significant articles were identified for analysis from the Web of Science, Scopus and Science Direct databases, in which mainly the applied techniques were addressed. In this sense, this study seeks to stimulate research on the use of DM and ML to help in the sustainable context, being essential to assist in the Sustainable Development Goals.",1
39,2020.0,A systematic literature review on machine learning applications for sustainable agriculture supply chain performance,"Sharma, R; Kamble, SS; Gunasekaran, A; Kumar, V; Kumar, A","Agriculture plays an important role in sustaining all human activities. Major challenges such as overpopulation, competition for resources poses a threat to the food security of the planet. In order to tackle the ever-increasing complex problems in agricultural production systems, advancements in smart farming and precision agriculture offers important tools to address agricultural sustainability challenges. Data analytics hold the key to ensure future food security, food safety, and ecological sustainability. Disruptive information and communication technologies such as machine learning, big data analytics, cloud computing, and blockchain can address several problems such as productivity and yield improvement, water conservation, ensuring soil and plant health, and enhance environmental stewardship. The current study presents a systematic review of machine learning (ML) applications in agricultural supply chains (ASCs). Ninety three research papers were reviewed based on the applications of different ML algorithms in different phases of the ASCs. The study highlights how ASCs can benefit from ML techniques and lead to ASC sustainability. Based on the study findings an ML applications framework for sustainable ASC is proposed. The framework identifies the role of ML algorithms in providing real-time analytic insights for pro-active data-driven decision-making in the ASCs and provides the researchers, practitioners, and policymakers with guidelines on the successful management of ASCs for improved agricultural productivity and sustainability. (C) 2020 Elsevier Ltd. All rights reserved.",1
40,2021.0,Learning software configuration spaces: A systematic literature review,"Pereira, JA; Acher, M; Martin, H; Jezequel, JM; Botterweck, G; Ventresque, A","Most modern software systems (operating systems like Linux or Android, Web browsers like Firefox or Chrome, video encoders like ffmpeg, x264 or VLC, mobile and cloud applications, etc.) are highly configurable. Hundreds of configuration options, features, or plugins can be combined, each potentially with distinct functionality and effects on execution time, security, energy consumption, etc. Due to the combinatorial explosion and the cost of executing software, it is quickly impossible to exhaustively explore the whole configuration space. Hence, numerous works have investigated the idea of learning it from a small sample of configurations' measurements. The pattern sampling, measuring, learning has emerged in the literature, with several practical interests for both software developers and end-users of configurable systems. In this systematic literature review, we report on the different application objectives (e.g., performance prediction, configuration optimization, constraint mining), use-cases, targeted software systems, and application domains. We review the various strategies employed to gather a representative and cost-effective sample. We describe automated software techniques used to measure functional and non-functional properties of configurations. We classify machine learning algorithms and how they relate to the pursued application. Finally, we also describe how researchers evaluate the quality of the learning process. The findings from this systematic review show that the potential application objective is important; there are a vast number of case studies reported in the literature related to particular domains or software systems. Yet, the huge variant space of configurable systems is still challenging and calls to further investigate the synergies between artificial intelligence and software engineering. (C) 2021 Elsevier Inc. All rights reserved.",4
41,2021.0,Software Defect Prediction Using Supervised Machine Learning Techniques: A Systematic Literature Review,"Matloob, F; Aftab, S; Ahmad, M; Khan, MA; Fatima, A; Iqbal, M; Alruwaili, WM; Elmitwally, NS","Software defect prediction (SDP) is the process of detecting defectprone software modules before the testing stage. The testing stage in the software development life cycle is expensive and consumes the most resources of all the stages. SDP can minimize the cost of the testing stage, which can ultimately lead to the development of higher-quality software at a lower cost. With this approach, only those modules classified as defective are tested. Over the past two decades, many researchers have proposed methods and frameworks to improve the performance of the SDP process. The main research topics are association, estimation, clustering, classification, and dataset analysis. This study provides a systematic literature review that highlights the latest research trends in the area of SDP by providing a critical review of papers published between 2016 and 2019. Initially, 1012 papers were shortlisted from three online libraries (IEEE Xplore, ACM, and ScienceDirect); following a systematic research protocol, 22 of these papers were selected for detailed critical review. This review will serve researchers by providing the most current picture of the published work on software defect classification.",2
42,2021.0,Early Prediction of Sepsis in the ICU Using Machine Learning: A Systematic Review,"Moor, M; Rieck, B; Horn, M; Jutzeler, CR; Borgwardt, K","Background: Sepsis is among the leading causes of death in intensive care units (ICUs) worldwide and its recognition, particularly in the early stages of the disease, remains a medical challenge. The advent of an affluence of available digital health data has created a setting in which machine learning can be used for digital biomarker discovery, with the ultimate goal to advance the early recognition of sepsis. Objective: To systematically review and evaluate studies employing machine learning for the prediction of sepsis in the ICU. Data Sources: Using Embase, Google Scholar, PubMed/Medline, Scopus, and Web of Science, we systematically searched the existing literature for machine learning-driven sepsis onset prediction for patients in the ICU. Study Eligibility Criteria: All peer-reviewed articles using machine learning for the prediction of sepsis onset in adult ICU patients were included. Studies focusing on patient populations outside the ICU were excluded. Study Appraisal and Synthesis Methods: A systematic review was performed according to the PRISMA guidelines. Moreover, a quality assessment of all eligible studies was performed. Results: Out of 974 identified articles, 22 and 21 met the criteria to be included in the systematic review and quality assessment, respectively. A multitude of machine learning algorithms were applied to refine the early prediction of sepsis. The quality of the studies ranged from poor (satisfying <= 40% of the quality criteria) to very good (satisfying >= 90% of the quality criteria). The majority of the studies (n = 19, 86.4%) employed an offline training scenario combined with a horizon evaluation, while two studies implemented an online scenario (n = 2, 9.1%). The massive inter-study heterogeneity in terms of model development, sepsis definition, prediction time windows, and outcomes precluded a meta-analysis. Last, only two studies provided publicly accessible source code and data sources fostering reproducibility. Limitations: Articles were only eligible for inclusion when employing machine learning algorithms for the prediction of sepsis onset in the ICU. This restriction led to the exclusion of studies focusing on the prediction of septic shock, sepsis-related mortality, and patient populations outside the ICU. Conclusions and Key Findings: A growing number of studies employs machine learning to optimize the early prediction of sepsis through digital biomarker discovery. This review, however, highlights several shortcomings of the current approaches, including low comparability and reproducibility. Finally, we gather recommendations how these challenges can be addressed before deploying these models in prospective analyses. Systematic Review Registration Number: CRD42020200133.",1
43,2021.0,Machine Learning Approaches to Bike-Sharing Systems: A Systematic Literature Review,"Albuquerque, V; Dias, MS; Bacao, F","Cities are moving towards new mobility strategies to tackle smart cities' challenges such as carbon emission reduction, urban transport multimodality and mitigation of pandemic hazards, emphasising on the implementation of shared modes, such as bike-sharing systems. This paper poses a research question and introduces a corresponding systematic literature review, focusing on machine learning techniques' contributions applied to bike-sharing systems to improve cities' mobility. The preferred reporting items for systematic reviews and meta-analyses (PRISMA) method was adopted to identify specific factors that influence bike-sharing systems, resulting in an analysis of 35 papers published between 2015 and 2019, creating an outline for future research. By means of systematic literature review and bibliometric analysis, machine learning algorithms were identified in two groups: classification and prediction.",1
44,2021.0,Machine learning approaches to IoT security: A systematic literature review,"Ahmad, R; Alsmadi, I","With the continuous expansion and evolution of IoT applications, attacks on those IoT applications continue to grow rapidly. In this systematic literature review (SLR) paper, our goal is to provide a research asset to researchers on recent research trends in IoT security. As the main driver of our SLR paper, we proposed six research questions related to IoT security and machine learning. This extensive literature survey on the most recent publications in IoT security identified a few key research trends that will drive future research in this field. With the rapid growth of large scale IoT attacks, it is important to develop models that can integrate state of the art techniques and technologies from big data and machine learning. Accuracy and efficiency are key quality factors in finding the best algorithms and models to detect IoT attacks in real or near real-time (C) 2021 Elsevier B.V. All rights reserved.",4
45,2021.0,Dengue models based on machine learning techniques: A systematic literature review,"Hoyos, W; Aguilar, J; Toro, M","Background: Dengue modeling is a research topic that has increased in recent years. Early prediction and decision-making are key factors to control dengue. This Systematic Literature Review (SLR) analyzes three modeling approaches of dengue: diagnostic, epidemic, intervention. These approaches require models of prediction, prescription and optimization. This SLR establishes the state-of-the-art in dengue modeling, using machine learning, in the last years. Methods: Several databases were selected to search the articles. The selection was made based on Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) methodology. Sixty-four articles were obtained and analyzed to describe their strengths and limitations. Finally, challenges and opportunities for research on machine-learning for dengue modeling were identified. Results: Logistic regression was the most used modeling approach for the diagnosis of dengue (59.1%). The analysis of the epidemic approach showed that linear regression (17.4%) is the most used technique within the spatial analysis. Finally, the most used intervention modeling is General Linear Model with 70%. Conclusions: We conclude that cause-effect models may improve diagnosis and understanding of dengue. Models that manage uncertainty can also be helpful, because of low data-quality in healthcare. Finally, decentralization of data, using federated learning, may decrease computational costs and allow model building without compromising data security.",1
46,2018.0,Machine Learning in Orthopedics: A Literature Review,"Cabitza, F; Locoro, A; Banfi, G","In this paper we present the findings of a systematic literature review covering the articles published in the last two decades in which the authors described the application of a machine learning technique and method to an orthopedic problem or purpose. By searching both in the Scopus and Medline databases, we retrieved, screened and analyzed the content of 70 journal articles, and coded these resources following an iterative method within a Grounded Theory approach. We report the survey findings by outlining the articles' content in terms of the main machine learning techniques mentioned therein, the orthopedic application domains, the source data and the quality of their predictive performance.",1
47,2021.0,Application of machine learning in predicting hospital readmissions: a scoping review of the literature,"Huang, YN; Talwar, A; Chatterjee, S; Aparasu, RR","Background Advances in machine learning (ML) provide great opportunities in the prediction of hospital readmission. This review synthesizes the literature on ML methods and their performance for predicting hospital readmission in the US. Methods This review was performed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analysis Extension for Scoping Reviews (PRISMA-ScR) Statement. The extraction of items was also guided by the Critical Appraisal and Data Extraction for Systematic Reviews of Prediction Modelling Studies (CHARMS). Electronic databases PUBMED, MEDLINE, and EMBASE were systematically searched from January 1, 2015, through December 10, 2019. The articles were imported into COVIDENCE online software for title/abstract screening and full-text eligibility. Observational studies using ML techniques for hospital readmissions among US patients were eligible for inclusion. Articles without a full text available in the English language were excluded. A qualitative synthesis included study characteristics, ML algorithms utilized, and model validation, and quantitative analysis assessed model performance. Model performances in terms of Area Under the Curve (AUC) were analyzed using R software. Quality in Prognosis Studies (QUIPS) tool was used to assess the quality of the reviewed studies. Results Of 522 citations reviewed, 43 studies met the inclusion criteria. A majority of the studies used electronic health records (24, 56%), followed by population-based data sources (15, 35%) and administrative claims data (4, 9%). The most common algorithms were tree-based methods (23, 53%), neural network (NN) (14, 33%), regularized logistic regression (12, 28%), and support vector machine (SVM) (10, 23%). Most of these studies (37, 85%) were of high quality. A majority of these studies (28, 65%) reported ML algorithms with an AUC above 0.70. There was a range of variability within AUC reported by these studies with a median of 0.68 (IQR: 0.64-0.76; range: 0.50-0.90). Conclusions The ML algorithms involving tree-based methods, NN, regularized logistic regression, and SVM are commonly used to predict hospital readmission in the US. Further research is needed to compare the performance of ML algorithms for hospital readmission prediction.",1
48,2020.0,Bad Smell Detection Using Machine Learning Techniques: A Systematic Literature Review,"Al-Shaaby, A; Aljamaan, H; Alshayeb, M","Code smells are indicators of potential problems in software. They tend to have a negative impact on software quality. Several studies use machine learning techniques to detect bad smells. The objective of this study is to systematically review and analyze machine learning techniques used to detect code smells to provide interested research community with knowledge about the adopted techniques and practices for code smells detection. We use a systematic literature review approach to review studies that use machine learning techniques to detect code smells. Seventeen primary studies were identified. We found that 27 code smells were used in the identified studies; God Class and Long Method, Feature Envy, and Data Class are the most frequently detected code smells. In addition, we found that 16 machine learning algorithms were employed to detect code smells with acceptable prediction accuracy. Furthermore, we the results also indicate that support vector machine techniques were investigated the most. Moreover, we observed that J48 and Random Forest algorithms outperform the other algorithms. We also noticed that, in some cases, the use of boosting techniques on the models does not always enhance their performance. More studies are needed to consider the use of ensemble learning techniques, multiclassification, and feature selection technique for code smells detection. Thus, the application of machine learning algorithms to detect code smells in systems is still in its infancy and needs more research to facilitate the employment of machine learning algorithms in detecting code smells.",1
49,2021.0,Iterative guided machine learning-assisted systematic literature reviews: a diabetes case study,"Zimmerman, J; Soler, RE; Lavinder, J; Murphy, S; Atkins, C; Hulbert, L; Lusk, R; Ng, BP","Background Systematic Reviews (SR), studies of studies, use a formal process to evaluate the quality of scientific literature and determine ensuing effectiveness from qualifying articles to establish consensus findings around a hypothesis. Their value is increasing as the conduct and publication of research and evaluation has expanded and the process of identifying key insights becomes more time consuming. Text analytics and machine learning (ML) techniques may help overcome this problem of scale while still maintaining the level of rigor expected of SRs. Methods In this article, we discuss an approach that uses existing examples of SRs to build and test a method for assisting the SR title and abstract pre-screening by reducing the initial pool of potential articles down to articles that meet inclusion criteria. Our approach differs from previous approaches to using ML as a SR tool in that it incorporates ML configurations guided by previously conducted SRs, and human confirmation on ML predictions of relevant articles during multiple iterative reviews on smaller tranches of citations. We applied the tailored method to a new SR review effort to validate performance. Results The case study test of the approach proved a sensitivity (recall) in finding relevant articles during down selection that may rival many traditional processes and show ability to overcome most type II errors. The study achieved a sensitivity of 99.5% (213 out of 214) of total relevant articles while only conducting a human review of 31% of total articles available for review. Conclusions We believe this iterative method can help overcome bias in initial ML model training by having humans reinforce ML models with new and relevant information, and is an applied step towards transfer learning for ML in SR.",3
50,2020.0,Real-Time Hand Gesture Recognition Using Surface Electromyography and Machine Learning: A Systematic Literature Review,"Jaramillo-Yanez, A; Benalcazar, ME; Mena-Maldonado, E","Today, daily life is composed of many computing systems, therefore interacting with them in a natural way makes the communication process more comfortable. Human-Computer Interaction (HCI) has been developed to overcome the communication barriers between humans and computers. One form of HCI is Hand Gesture Recognition (HGR), which predicts the class and the instant of execution of a given movement of the hand. One possible input for these models is surface electromyography (EMG), which records the electrical activity of skeletal muscles. EMG signals contain information about the intention of movement generated by the human brain. This systematic literature review analyses the state-of-the-art of real-time hand gesture recognition models using EMG data and machine learning. We selected and assessed 65 primary studies following the Kitchenham methodology. Based on a common structure of machine learning-based systems, we analyzed the structure of the proposed models and standardized concepts in regard to the types of models, data acquisition, segmentation, preprocessing, feature extraction, classification, postprocessing, real-time processing, types of gestures, and evaluation metrics. Finally, we also identified trends and gaps that could open new directions of work for future research in the area of gesture recognition using EMG.",4
51,2020.0,The use of machine learning and deep learning algorithms in functional magnetic resonance imaging-A systematic review,"Rashid, M; Singh, H; Goyal, V","Functional Magnetic Resonance Imaging (fMRI) is presently one of the most popular techniques for analysing the dynamic states in brain images using various kinds of algorithms. From the last decade, there is an exponential rise in the use of the machine and deep learning algorithms of artificial intelligence for analysing fMRI data. However, it is a big challenge for every researcher to choose a suitable machine or deep learning algorithm for analysing fMRI data due to the availability of a large number of algorithms in the literature. It takes much time for each researcher to know about the various approaches and algorithms which are in use for fMRI data. This paper provides a review in a systematic manner for the present literature of fMRI data that makes use of the machine and deep learning algorithms. The major goals of this review paper are to (a) identify machine learning and deep learning research trends for the implementation of fMRI; (b) identify usage of Machine Learning Algorithms and deep learning in fMRI, and (c) help new researchers based on fMRI to put their new findings appropriately in existing domain of fMRI research. The results of this systematic review identified various fMRI studies and classified them based on fMRI types, mental diseases, use of machine learning and deep learning algorithms. The authors have provided the studies with the best performance of machine learning and deep learning algorithms used in fMRI. The authors believe that this systematic review will help incoming researchers on fMRI in their future works.",4
52,2017.0,Learning Analytics in the era of Big Data: A Systematic Literature Review Protocol,"Khan, SU; Bangash, SAK; Khan, EKU","Learning analytics is the art and science of collecting, analyzing and reporting data about learners and their learning environments in order to better understand and optimize the learning process and its environment. It is closely associated to educational data mining. Machine learning, data mining and human computer interaction techniques are used to the data collected about learners and their interactions. It aims at leveraging the learning process and learners' experience through the use of ubiquitous sensor based infrastructure, increased collection of large and diverse set of data, and subsequently applying machine learning and data analytics could really make it useful. Big data principles can be also very helpful to solve the mysteries related to the collection, storage management and analysis of large and heterogeneous set of data. Systematic Literature Review (SLR) is a more structured literature review process. It also provides more thorough coverage of the literature thereby minimizing the research bias. This paper aims at developing a systematic literature review protocol for the learning analytics to highlight the applications, issues and challenges, existing solutions and future directions in the context of big data.",4
53,2020.0,Concept Drift Evolution In Machine Learning Approaches: A Systematic Literature Review,"Hashmani, MA; Jameel, SM; Rehman, M; Inoue, A","Concept Drift's issue is a decisive problem of online machine learning, which causes massive performance degradation in the analysis. The Concept Drift is observed when data's statistical properties vary at a different time step and deteriorate the trained model's accuracy and make them ineffective. However, online machine learning has significant importance to fulfill the demands of the current computing revolution. Moreover, it is essential to understand the existing Concept Drift handling techniques to determine their associated pitfalls and propose robust solutions. This study attempts to summarize and clarify the empirical pieces of evidence of the Concept Drift issue and assess its applicability to meet the current computing revolution. Also, this study provides a few possible research directions and practical implications of Concept Drift handling.",1
54,2021.0,Understanding current states of machine learning approaches in medical informatics: a systematic literature review,"Hasan, N; Bao, YKK","Knowledge mining (KM) tends to deliver the tools and associated components to extract enormous amounts of data for strategic decision-making. Numerous machine learning (ML) techniques have been applied in medical information systems. These can significantly contribute to the decision-making process, such as diagnosis, prediction, and exploring the benefits of clinical care. This study aims to determine insights into the current state of data mining applications employed by ML in the field of medical informatics (MI). We believe that this exploration would lead to many unrevealed answers in predictive modelling in medical informatics. A systematic search was performed in the most influential scientific electronic databases and one specific another database between 2016 to 2020 (April). Research questions are outlined after the researcher has studied previous research done on the subject. We identified 51 related samples out of 1224 searched articles that satisfied our inclusion criteria. There is a significant increasing pattern of ML application in MI. In addition, the most popular algorithm for classification problem is Support Vector Machine (SVM), followed by random forest (RF). In contrast, Accuracy and Specificity are the most commonly used mechanisms for performance indicators calculation. This systematic literature review provides a new paradigm for the application of ML to MI. By this investigation, the unknown areas of ML on MI were explored.",4
55,2019.0,A systematic literature review of machine learning in online personal health data,"Yin, ZJ; Sulieman, LM; Malin, BA","Objective: User-generated content (UGC) in online environments provides opportunities to learn an individual's health status outside of clinical settings. However, the nature of UGC brings challenges in both data collecting and processing. The purpose of this study is to systematically review the effectiveness of applying machine learning (ML) methodologies to UGC for personal health investigations. Materials and Methods: We searched PubMed, Web of Science, IEEE Library, ACM library, AAAI library, and the ACL anthology. We focused on research articles that were published in English and in peer-reviewed journals or conference proceedings between 2010 and 2018. Publications that applied ML to UGC with a focus on personal health were identified for further systematic review. Results: We identified 103 eligible studies which we summarized with respect to 5 research categories, 3 data collection strategies, 3 gold standard dataset creation methods, and 4 types of features applied in ML models. Popular off-the-shelf ML models were logistic regression (n=22), support vector machines (n=18), naive Bayes (n=17), ensemble learning (n=12), and deep learning (n=11). The most investigated problems were mental health (n=39) and cancer (n=15). Common health-related aspects extracted from UGC were treatment experience, sentiments and emotions, coping strategies, and social support. Conclusions: The systematic review indicated that ML can be effectively applied to UGC in facilitating the description and inference of personal health. Future research needs to focus on mitigating bias introduced when building study cohorts, creating features from free text, improving clinical creditability of UGC, and model interpretability.",1
56,2021.0,Has the Flood Entered the Basement? A Systematic Literature Review about Machine Learning in Laboratory Medicine,"Ronzio, L; Cabitza, F; Barbaro, A; Banfi, G","This article presents a systematic literature review that expands and updates a previous review on the application of machine learning to laboratory medicine. We used Scopus and PubMed to collect, select and analyse the papers published from 2017 to the present in order to highlight the main studies that have applied machine learning techniques to haematochemical parameters and to review their diagnostic and prognostic performance. In doing so, we aim to address the question we asked three years ago about the potential of these techniques in laboratory medicine and the need to leverage a tool that was still under-utilised at that time.",4
57,2022.0,Understanding product returns: A systematic literature review using machine learning and bibliometric analysis,"Duong, QH; Zhou, L; Meng, M; Van Nguyen, T; Ieromonachou, P; Nguyen, DT","Product Returns (PR) are an inevitable yet costly process in business, especially in the online marketplace. How to deal with the conundrums has attracted a great deal of attention from both practitioners and researchers. This paper aims to synthesise research developments in the PR domain in order to provide an insightful picture of current research and explore future directions for the research community. To ensure research rigour, we adapt a six-step framework - defining the topic, searching databases, cleaning and clustering data, paper selection, content analysis, and discussion. A hybrid approach is adopted for clustering and identifying the distribution and themes in a large number of publications collected from academic databases. The hybrid approach combines machine learning topic modelling and bibliometric analysis. The machine learning results indicate that the overall research can be clustered into three groups: (1) operations management of PR, covering (re) manufacturing network design, product recovery, reverse distribution, and quality of cores; (2) retailer and (re) manufacturer issues including return policy, channel, inventory, pricing, and information strategies; and (3) customer's psychology, experience, and perception on marketing-operation interface. Furthermore, from the content analysis, five potential future directions are discussed, namely digitalisation in the context of PR; globalisation versus localisation in the context of PR; multi-layer (i.e., retailer, manufacturer, logistics provider, online platform) and multi-channel (i.e., online, offline, dual and omni channel) oriented bespoke return policy; understanding and predicting customer return behaviour via online footprints; and customer return perception across the marketing-operations interface.",2
